Organisation_fame_search,Company.name
children assisted in a real environment ltdSelected, CHILDREN ASSISTED IN A REAL ENVIRONMENT LTD
Amegreen childrens Services LimitedSelected, AMEGREEN CHILDRENS SERVICES LIMITED
New Forest Care LtdSelected, NEW FOREST CARE LIMITED
St Cuthberts CareSelected, ST CUTHBERT'S CARE
Care Focus LimitedSelected, CARE FOCUS LIMITED
The Serendipity Centre LimitedSelected, THE SERENDIPITY CENTRE LIMITED
Priory New Education Services LimitedSelected, ASPRIS NEW EDUCATION SERVICES LIMITED
ERA Care LimitedSelected, ERA CARE LIMITED
Howard House Care LimitedSelected, HOWARD HOUSE CARE LIMITED Dissolved
Keys Education LimitedSelected, KEYS EDUCATION LIMITED
Horton Establishments LtdSelected, HORTON ESTABLISHMENTS LTD
The National Centre for Young People with EpilepsySelected, THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST
Roundhouse Care LtdSelected, ROUNDHOUSE CARE LIMITED
Ethelbert Specialist Homes LimitedSelected, ETHELBERT SPECIALIST HOMES LIMITED
Physis Quantum LimitedSelected, PHYSIS QUANTUM LIMITED
Bryn Melyn CareSelected, BRYN MELYN CARE LIMITED
Thoughts of Others LtdSelected, THOUGHTS OF OTHERS LTD In liquidation
Cambian Childcare LtdSelected, CAMBIAN CHILDCARE LIMITED
SES Turnstone LimitedSelected, SES TURNSTONE LIMITED
Key Change childrens Service LimitedSelected, KEY CHANGE CHILDREN'S SERVICE LIMITED
Progress childrens ServicesSelected, PROGRESS CHILDREN'S SERVICES LIMITED
Anderida Adolescent CareSelected, ANDERIDA ADOLESCENT CARE LIMITED
Hexagon Care Services LimitedSelected, HEXAGON CARE SERVICES LIMITED
Verve Life LimitedSelected, VERVE LIFE LIMITED Dissolved
Esland North LimitedSelected, ESLAND NORTH LIMITED
Artemis Support LtdSelected, COMPASS CHILDREN'S HOMES NORTH EAST LIMITED
Hillcrest childrens Services LtdSelected, HILLCREST CHILDRENS SERVICES LIMITED
Moonreach LtdSelected, MOONREACH LIMITED
Crossway Services LimitedSelected, CROSSWAY SERVICES LIMITED Dissolved
Roseberry Specialist Care Centres LtdSelected, ROSEBERRY SPECIALIST CARE CENTRES LIMITED In liquidation
Action For ChildrenSelected, ACTION FOR CHILDREN
Doncaster childrens Services Trust LimitedSelected, DONCASTER CHILDREN'S SERVICES TRUST LIMITED Dissolved
Quantum Care UK LimitedSelected, QUANTUM CARE (UK) LIMITED
Atlas Healthcare LtdSelected, ATLAS HEALTHCARE LIMITED
Arc Hd Services LtdSelected, ARC HD SERVICES LIMITED
Time-Out childrens Homes LimitedSelected, TIMEOUT CHILDRENS HOMES LIMITED
Crossways Care LtdSelected, KEYS CWC LIMITED
Witherslack Group LtdSelected, WITHERSLACK GROUP LIMITED
Shyne Together LimitedSelected, SHYNE TOGETHER LIMITED
Progressive Care LtdSelected, PROGRESSIVE CARE LIMITED
Five Rivers Child Care LimitedSelected, FIVE RIVERS CHILD CARE LIMITED
KEYS EDUCATIONAL SERVICES LIMITEDSelected, KEYS EDUCATIONAL SERVICES LIMITED
ABC Care and Education LtdSelected, ABC CARE AND EDUCATION LTD
Nh Care LimitedSelected, NH CARE LIMITED Dissolved
Benecare LimitedSelected, BENECARE LIMITED
Children and Family Services LimitedSelected, CHILDREN AND FAMILY SERVICES LIMITED
Individual Specialist Care LtdSelected, INDIVIDUAL SPECIALIST CARE LTD In liquidation
Little Acorns London Beach Farm LimitedSelected, LITTLE ACORNS LONDON BEACH FARM LIMITED
Care Management Solutions LimitedSelected, CARE MANAGEMENT SOLUTIONS LIMITED Dissolved
Carlisle Mencap LtdSelected, CARLISLE MENCAP LIMITED
Imap Centre LimitedSelected, IMAP CENTRE LIMITED
Southern Adolescent Care Services LtdSelected, SOUTHERN ADOLESCENT CARE SERVICES LTD
Pathway Care Solutions Ii LtdSelected, PATHWAY CARE SOLUTIONS II LIMITED
Horizon Care LimitedSelected, HORIZON CARE LIMITED
Hillcrest Childrens Services LimitedSelected, HILLCREST CHILDRENS SERVICES LIMITED
Reamcare LimitedSelected, REAMCARE LIMITED
Channels and Choices LimitedSelected, CHANNELS AND CHOICES LIMITED
We Are BeamsSelected, WE ARE BEAMS
St Christophers FellowshipSelected, ST.CHRISTOPHERS FELLOWSHIP
Nugent CareSelected, NUGENT CARE 2019
Radical Services LtdSelected, RADICAL SERVICES LIMITED
The childrens TrustSelected, THE CHILDREN'S TRUST
Daisybrook LimitedSelected, DAISYBROOK LIMITED
Partners in Care LimitedSelected, PARTNERS IN CARE LIMITED
Acorn Norfolk LimitedSelected, ACORN NORFOLK LIMITED
Sherico Care Services LimitedSelected, SHERICO CARE SERVICES LIMITED
Castle Homes LimitedSelected, CASTLE HOMES LIMITED
Rosedale childrens Services LimitedSelected, ROSEDALE CHILDREN'S SERVICES LIMITED
Right-Trak LimitedSelected, RIGHT-TRAK LIMITED
Evolution Childrens Services LimitedSelected, EVOLUTION CHILDREN SERVICES LTD In liquidation
Oracle Care LimitedSelected, ORACLE CARE LIMITED
Strode Park Foundation for People with DisabilitiesSelected, STRODE PARK FOUNDATION FOR PEOPLE WITH DISABILITIES
BreakSelected, BREAK
The Ryes College LimitedSelected, THE RYES COLLEGE LIMITED
G B A Care LtdSelected, G B A CARE LIMITED
Lifetime Opportunities LtdSelected, LIFETIME OPPORTUNITIES LTD
Potton Homes LtdSelected, POTTON HOMES LTD
Family Care Associates LimitedSelected, FAMILY CARE ASSOCIATES LIMITED
Castle Homes Care LtdSelected, CASTLE HOMES CARE LIMITED
Reflexion Care Group LimitedSelected, REFLEXION CARE GROUP LIMITED
Keys Care LimitedSelected, KEYS CARE LIMITED
Kedleston (Wood Grove Childcare) LtdSelected, KEDLESTON (WOOD GROVE CHILDCARE) LIMITED
Priory Education Services LimitedSelected, ASPRIS CHILDREN'S SERVICES LIMITED
Ferndearle Child Care Services LimitedSelected, COMPASS CHILDREN'S HOMES KENT LIMITED
Jubilee House Care Trust LimitedSelected, THE JUBILEE HOUSE CARE TRUST LIMITED
Longdon Hall School LimitedSelected, LONGDON HALL SCHOOL LIMITED
Hopscotch Care LimitedSelected, HOPSCOTCH CARE LIMITED
Consensus Support Services LtdSelected, CONSENSUS SUPPORT SERVICES LIMITED
Plus One (South West) LtdSelected, PLUS ONE (SOUTH WEST) LIMITED
Clover Childcare Services LtdSelected, CLOVER CHILDCARE SERVICES LIMITED
Care 2 Share 2 LtdSelected, CARE 2 SHARE LIMITED
The Beeches UK LtdSelected, THE BEECHES UK LIMITED
Pathways Care Group LimitedSelected, PATHWAYS CARE GROUP LIMITED
Barnardiston Hall Preparatory School LimitedSelected, BARNARDISTON HALL PREPARATORY SCHOOL LIMITED
Quality Protects Children LtdSelected, QUALITY PROTECTS CHILDREN LTD
New Horizons Childcare LtdSelected, NEW HORIZON CHILDCARE LIMITED
The Drive Care Homes LtdSelected, THE DRIVE CARE HOMES LIMITED
Cambian Whinfell School LtdSelected, CAMBIAN WHINFELL SCHOOL LIMITED
Roc Northwest LtdSelected, ROC NORTHWEST LIMITED
Prestige Adolescent Care And Education LimitedSelected, PRESTIGE ADOLESCENT CARE AND EDUCATION LIMITED
Doncaster Deaf TrustSelected, DONCASTER DEAF TRUST
Amos Aftercare Moving On Scheme LtdSelected, AMOS AFTERCARE MOVING ON SCHEME LTD Dissolved
Greenfields Adolescent Development LimitedSelected, GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED
Aspire House PartnershipNo results Modify search term,
Fairfield Residential LtdSelected, FAIRFIELD RESIDENTIAL LIMITED
Highfield (North East) LimitedSelected, HIGHFIELD (NORTH EAST) LIMITED
Alicie Enterprises LimitedSelected, ALICIE ENTERPRISES LIMITED
Aspireone Care LtdSelected, ASPIREONE CARE LIMITED
Institute of Integrated Systemic TherapySelected, INSTITUTE OF INTEGRATED SYSTEMIC THERAPY
My Choice childrens Homes LtdSelected, MY CHOICE CHILDREN'S HOMES LIMITED
Semi-Independent House LimitedSelected, SEMI-INDEPENDENT HOUSE LIMITED
The Together TrustSelected, THE TOGETHER TRUST
Knossington Grange School LtdSelected, KNOSSINGTON GRANGE SCHOOL LIMITED
The Qalb Short Break Services LtdSelected, THE QALB SHORT BREAK SERVICES LTD
CARE TODAY (CHILDRENS SERVICES) LTDSelected, CARE TODAY (CHILDRENS SERVICES) LTD
The Vine Residential Services (TVRS) LtdSelected, THE VINE RESIDENTIAL SERVICES (TVRS) LTD
A J Residential Care LtdSelected, A J RESIDENTIAL CARE LTD
Channels and Choices Kent LLPSelected, CHANNELS AND CHOICES KENT LLP
Unity Residential Care ServicesSelected, UNITY RESIDENTIAL CARE SERVICES LIMITED
Phoenix Child Care LimitedSelected, PHOENIX CHILD CARE LIMITED
Grace Care LimitedSelected, GRACE CARE LIMITED Dissolved
Acorn Homes (UK) LimitedSelected, ACORN HOMES (UK) LIMITED
Utopia childrens Services LtdSelected, UTOPIA CHILDRENS SERVICES LIMITED
Direct Care LtdSelected, DIRECT CARE LTD
Future In Mind LimitedSelected, FUTURE IN MIND LIMITED
North Lakes childrens Services LimitedSelected, NORTH LAKES CHILDRENS SERVICES LIMITED
Shalamar Children LimitedSelected, SHALAMAR CHILDREN LIMITED
Merryvale children's HomeSelected, MERRYVALE PROPERTIES LIMITED Dissolved
MacIntyre CareSelected, MACINTYRE CARE
Parkview Care (broadstairs) LimitedSelected, PARKVIEW CARE (BROADSTAIRS) LIMITED
Capstone Care Provider LimitedSelected, CAPSTONE CARE PROVIDER LIMITED
MGM Care Services LtdSelected, MGM CARE SERVICES LTD
Care And Management Services LimitedSelected, CARE AND MANAGEMENT SERVICES LIMITED
Searchlight Care Services LtdSelected, SEARCHLIGHT CARE SERVICES LIMITED
Bright Futures Care LimitedSelected, BRIGHT FUTURES CARE LIMITED
Inroads Essex LimitedSelected, INROADS (ESSEX) LTD
Pine Forest Homes LimitedSelected, PINE FOREST HOMES LIMITED Dissolved
Calcot Services For Children LimitedSelected, CALCOT SERVICES FOR CHILDREN LIMITED
Cotswold Chine SchoolSelected, NOVALIS TRUST
Platinum Services For Children (residential Care) LtdSelected, PLATINUM SERVICES FOR CHILDREN (RESIDENTIAL CARE) LIMITED
Underley Schools LimitedSelected, UNDERLEY SCHOOLS LIMITED
Outdoor Care LimitedSelected, OUTDOOR CARE LTD
Delam Care LimitedSelected, DELAM CARE LIMITED
Dove Adolescent Services LimitedSelected, DOVE ADOLESCENT SERVICES LIMITED
Time-Out Childrens Homes LimitedSelected, TIMEOUT CHILDRENS HOMES LIMITED
Courtyard Care LimitedSelected, COURTYARD CARE LIMITED
Pilgrims Corner LimitedSelected, PILGRIMS CORNER LIMITED
Pathfinders (childcare) LtdSelected, PATHFINDERS (CHILDCARE) LIMITED
TreeHouse Care Fostering Solutions LtdSelected, TREEHOUSE CARE FOSTERING SOLUTIONS LIMITED
Ronanda LimitedSelected, RONANDA LIMITED
Blackford Education (schools) LtdSelected, BLACKFORD EDUCATION (SCHOOLS) LIMITED
North East Autism SocietySelected, NORTH EAST AUTISM SOCIETY
Inspire Childrens Services LimitedSelected, INSPIRE CHILDRENS SERVICES LIMITED
Keys Childcare LtdSelected, KEYS CHILDCARE (IRL) LIMITED Dissolved
New Options LimitedSelected, OPTIONS AUTISM (1) LIMITED
Halliwell Homes LimitedSelected, HALLIWELL HOMES LIMITED
Positive Pathways LimitedSelected, POSITIVE PATHWAYS LIMITED
Acorn Care (UK) LimitedSelected, ACORN CARE (UK) LIMITED
One To One Crisis Intervention LtdSelected, ONE TO ONE CRISIS INTERVENTION LIMITED
Archways Care LtdSelected, ARCHWAYS CARE LTD
Educare Adolescent Services LimitedSelected, EDUCARE ADOLESCENT SERVICES LIMITED
Fairways Care (uk) LimitedSelected, FAIRWAYS CARE (UK) LIMITED Dissolved
Active Ark LimitedSelected, ACTIVE ARK LIMITED
Steps 4 Life Care LtdSelected, STEPS 4 LIFE CARE LTD
Unique Care Homes Support LimitedSelected, UNIQUE CARE HOMES SUPPORT LIMITED
Heartwood RSW LtdSelected, HEARTWOOD RSW LTD
Cove Care Residential LtdSelected, COVE CARE RESIDENTIAL LIMITED
Marlowe Child & Family Services LimitedSelected, HARTMORE EDUCATION LIMITED
Care Management Group LimitedSelected, CARE MANAGEMENT GROUP LIMITED
M.J. Childrens Services LimitedSelected, M.J. CHILDRENS SERVICES LIMITED
Phoenix Learning And Care LtdSelected, PHOENIX LEARNING AND CARE LIMITED
Pebbles CareSelected, PEBBLES CARE LIMITED
Bramley Care LimitedSelected, BRAMLEY CARE LIMITED
S P Homes LimitedSelected, S P HOMES LIMITED
The Chartwell Group of Companies LimitedSelected, THE CHARTWELL GROUP OF COMPANIES LIMITED Dissolved
Pathway Care Solutions LtdSelected, PATHWAY CARE SOLUTIONS LIMITED
Considerate Care LimitedSelected, CONSIDERATE CARE LIMITED
Headway Adolescent Resources LimitedSelected, HEADWAY ADOLESCENT RESOURCES LIMITED
Hopscotch Solutions LimitedSelected, HOPSCOTCH SOLUTIONS LIMITED
Aspirations Care LimitedSelected, ASPIRATIONS CARE LIMITED
Interact Care LimitedSelected, INTERACT CARE LIMITED
Sunfield childrens Homes LimitedSelected, SUNFIELD CHILDRENS HOMES LIMITED
Blue Mountain Homes LtdSelected, BLUE MOUNTAIN HOMES LTD.
Nottinghamshire YmcaSelected, YMCA ROBIN HOOD GROUP
Cornerstone childrens Homes LimitedSelected, CORNERSTONE CHILDREN'S HOMES LIMITED
Fairport Care Services LtdSelected, FAIRPORT CARE SERVICES LIMITED
The Amicus Community Arundel LimitedSelected, THE AMICUS COMMUNITY ARUNDEL LIMITED
Beaufort Care GroupSelected, BEAUFORT CARE GROUP LIMITED
Spark Of Genius North East LlpSelected, SPARK OF GENIUS NORTH EAST LLP
Woodside House Care LtdSelected, WOODSIDE HOUSE CARE LTD
A Wilderness Way LtdSelected, A WILDERNESS WAY LIMITED
Lifeworks Charity LimitedSelected, LIFEWORKS CHARITY LIMITED
Progress Care and Education LimitedSelected, PROGRESS CARE AND EDUCATION LIMITED
Meadows Care LtdSelected, MEADOWS CARE LIMITED
Lioncare LimitedSelected, LIONCARE LIMITED
Surecare Residential LtdSelected, SURECARE RESIDENTIAL LTD
Cambian Signpost LimitedSelected, CAMBIAN SIGNPOST LIMITED
Sea Shell Trust LimitedSelected, SEASHELL TRUST
Compass childrens Homes LtdSelected, COMPASS CHILDREN'S HOMES LIMITED
Dmr Services LimitedSelected, DMR SERVICES LIMITED
Holme Farm Residential Village LimitedSelected, HOLME FARM RESIDENTIAL VILLAGE LIMITED
Good Foundations LimitedSelected, GOOD FOUNDATIONS LIMITED
The Loddon Foundation LtdSelected, THE LODDON FOUNDATION LTD
Overley Hall School LimitedSelected, OVERLEY HALL LIMITED
Alliance Care & Education LimitedSelected, KEYS ACE LIMITED
SES Avocet LimitedSelected, SES AVOCET LIMITED
Hopedale Children and Family Services LimitedSelected, HOPEDALE CHILDREN AND FAMILY SERVICES LIMITED
Total Care Matters LimitedSelected, TOTAL CARE MATTERS LTD
Holibrook House LimitedSelected, HOLIBROOK HOUSE LIMITED
3 Dimensions Care LimitedSelected, 3 DIMENSIONS CARE LIMITED
4d Care LtdSelected, 4D CARE LIMITED
Crystal Care Solutions LimitedSelected, CRYSTAL CARE SOLUTIONS LIMITED
The Caldecott Foundation LimitedSelected, THE CALDECOTT FOUNDATION LIMITED
Broadwood Residential LimitedSelected, KEYS BR LIMITED
Oakley House Childrens Home LimitedSelected, OAKLEY HOUSE CHILDRENS HOME LIMITED
Milestones Care Homes LimitedSelected, MILESTONES CARE HOMES LTD
Pear Tree Projects LimitedSelected, PEAR TREE PROJECTS LIMITED
First 4 Care LtdSelected, FIRST 4 CARE LIMITED Dissolved
Bay View Child Care LimitedSelected, BAY VIEW CHILD CARE LIMITED
Motivations Activity Projects LtdSelected, MOTIVATIONS ACTIVITY PROJECTS LTD.
Cornerways childrens Services LimitedSelected, CORNERWAYS CHILDRENS SERVICES LIMITED
Keswick Care LimitedSelected, KESWICK CARE LIMITED
Amberleigh Care LimitedSelected, AMBERLEIGH CARE LIMITED
East Midlands Care Matters LimitedSelected, EAST MIDLANDS CARE MATTERS LIMITED
Wessex CollegeSelected, WESSEX COLLEGE LIMITED
Aspire Residential Care Home LtdSelected, ASPIRE RESIDENTIAL CARE HOME LTD Dissolved
Ja Nailah LimitedSelected, JA NAILAH LIMITED
Esland South LimitedSelected, ESLAND SOUTH LIMITED
Springfield Road Childrens Homes LtdSelected, SPRINGFIELD ROAD CHILDRENS HOMES LTD
Social Care Services (clayton) LimitedSelected, SOCIAL CARE SERVICES (CLAYTON) LIMITED
Arnfield Care LimitedSelected, ARNFIELD CARE LIMITED
Enabling Futures LtdSelected, ENABLING FUTURES LTD
Footsteps A Path To Change 08 LimitedSelected, FOOTSTEPS A PATH TO CHANGE 08 LIMITED
Virgin Care LimitedSelected, HCRG CARE LTD
Friends Therapeutic Community TrustSelected, FRIENDS THERAPEUTIC COMMUNITY TRUST
Frances House LtdSelected, FRANCES HOUSE LTD
Priors Court FoundationSelected, PRIOR'S COURT FOUNDATION
Mulberry House Care Homes LimitedSelected, MULBERRY HOUSE CARE HOMES LIMITED
Full Circle CareSelected, FULL CIRCLE CARE LTD
Hillcrest childrens Services (2) LtdSelected, HILLCREST CHILDRENS SERVICES (2) LIMITED
Mayne Enterprises LimitedSelected, MAYNE ENTERPRISES LIMITED Dissolved
SWAAY Child and Adolescent Services LimitedSelected, SWAAY CHILD AND ADOLESCENT SERVICES LIMITED
Cherish Childrens Care LimitedSelected, CHERISH CHILDRENS CARE LTD
Adventure Care LimitedSelected, ADVENTURE CARE LIMITED
HORIZON RESIDENTIAL HOMES LIMITEDSelected, HORIZON RESIDENTIAL HOMES LIMITED
Keys Group Progressive Care & Education LimitedSelected, KEYS GROUP PROGRESSIVE CARE & EDUCATION LIMITED
Dame Hannah Rogers SchoolSelected, 0
McRae Residential Care Services LimitedSelected, MCRAE RESIDENTIAL CARE SERVICES LIMITED
Hollybank TrustSelected, HOLLYBANK TRUST
ARC Adventure (Sussex) LtdSelected, ARC ADVENTURE (SUSSEX) LTD Dissolved
New Horizons (nw) LtdSelected, NEW HORIZONS (NW) LTD
BarnardosSelected, BARNARDOS - REPUBLIC OF IRELAND COMPANY LIMITED BY GUARANTEE
Winsbeach childrens Home LimitedSelected, WINSBEACH CHILDREN'S HOME LIMITED
Cambian Autism Services LimitedSelected, CAMBIAN AUTISM SERVICES LIMITED
Keys Specialist Residential childrens Services LtdSelected, KEYS SPECIALIST RESIDENTIAL CHILDREN'S SERVICES LTD
Acorn Homes (uk) LtdSelected, ACORN HOMES (U.K.) LIMITED Dissolved
PIC childrens Services LimitedSelected, P.I.C. CHILDRENS' SERVICES LIMITED
Dalepeak LimitedSelected, DALEPEAK LIMITED
Idem Living LtdSelected, IDEM LIVING LTD
Serenity Specialist Care LimitedSelected, SERENITY SPECIALIST CARE LIMITED
St. Christophers FellowshipSelected, ST.CHRISTOPHERS FELLOWSHIP
RUBICON CHILDREN & FAMILY SERVICES LIMITEDSelected, RUBICON CHILDREN & FAMILY SERVICES LIMITED
Castlecare Cymru LimitedSelected, CASTLECARE CYMRU LIMITED
Thunderbolt Mobile LimitedSelected, THUNDERBOLT MOBILE LIMITED
Bridge Communities LimitedSelected, BRIDGE COMMUNITIES LIMITED
Aspire Child Care LtdSelected, ASPIRE CHILD CARE LTD
Appletree Treatment Centre LimitedSelected, APPLETREE TREATMENT CENTRE LIMITED
Rowden House School LimitedSelected, ROWDEN HOUSE SCHOOL LIMITED
Mangrove Care LimitedSelected, MANGROVE CARE LTD
CareTech Community Services LimitedSelected, CARETECH COMMUNITY SERVICES LIMITED
Lodge Group Care UK LimitedSelected, LODGE GROUP CARE UK LIMITED
Independent Living Services (North West) LimitedSelected, INDEPENDENT LIVING SERVICES (NORTH WEST) LIMITED
Our Place (2008) LtdSelected, OUR PLACE (2008) LIMITED
Kisimul Group LimitedSelected, KISIMUL GROUP LIMITED
Area Camden LtdSelected, AREA CAMDEN LIMITED
Constant Child Care LtdSelected, NEXT STEPS AFTERCARE LIMITED
Park Lane Residential Home LimitedSelected, PARK LANE RESIDENTIAL HOME LIMITED Dissolved
Supporting Futures LimitedSelected, SUPPORTING FUTURES LIMITED Dissolved
Maple Leaf Care LimitedSelected, MAPLE LEAF CARE LIMITED
Willows (Devon) LimitedSelected, WILLOWS (DEVON) LIMITED
Owned by an individualNo results Modify search term,
MIG House Residential Care Home LimitedSelected, MIG HOUSE RESIDENTIAL CARE HOME LIMITED
Westgate Lifestyle Project LimitedSelected, WESTGATE LIFESTYLE PROJECT LIMITED
Step-a-Side Company LimitedSelected, STEP-A-SIDE COMPANY LIMITED
Safehaven Residential and Respite Care LimitedSelected, SAFEHAVEN RESIDENTIAL AND RESPITE CARE LIMITED Dissolved
Sandcastle Care LtdSelected, SANDCASTLE CARE LTD
Norwood RavenswoodSelected, NORWOOD RAVENSWOOD
Harmony Childrens ServicesSelected, HARMONY CHILDREN'S SERVICES LIMITED
Satash Community Care Project LimitedSelected, SATASH COMMUNITY CARE PROJECT LIMITED
Kisimul Group LtdSelected, KISIMUL GROUP LIMITED
Cruckton Hall LimitedSelected, CRUCKTON HALL LIMITED
Catholic Care (Diocese of Leeds)Selected, CATHOLIC CARE (DIOCESE OF LEEDS)
The SENAD Group LimitedSelected, THE SENAD GROUP LIMITED
Progressive Futures Care LimitedSelected, PROGRESSIVE FUTURES CARE LIMITED
Amelias House LimitedSelected, AMELIA HOUSE LIMITED
Stanfield Care Services LimitedSelected, STANFIELD CARE SERVICES LIMITED In liquidation
Benjamin Uk LtdSelected, BENJAMIN UK LTD
PJL Healthcare LimitedSelected, PJL HEALTHCARE LIMITED
Horizon Care And Education Group LimitedSelected, HORIZON CARE AND EDUCATION GROUP LIMITED
Teen-Works Care LimitedSelected, TEEN-WORKS CARE LIMITED
Care Assist childrens Services LimitedSelected, CARE ASSIST CHILDRENS SERVICES LTD Dissolved
White Orchid Care LimitedSelected, WHITE ORCHID CARE LIMITED
Cherry Trees LimitedSelected, CHERRY TREES
Creating Care Choices LimitedSelected, CREATING CARE CHOICES LIMITED
Lynstead Childrens Services LtdSelected, LYNSTEAD CHILDRENS SERVICES LTD
Ruskin Mill Trust LimitedSelected, RUSKIN MILL TRUST LIMITED
BirtenshawSelected, BIRTENSHAW
Chances CCFSS LimitedSelected, CHANCES CCFSS LIMITED
Acorn childrens Home (Burton) LtdSelected, ACORN CHILDREN'S HOME (BURTON) LTD
Royal Mencap SocietySelected, ROYAL MENCAP SOCIETY
