Organisation_fame_search,Company.name
Choices 4 Children LtdSelected, CHOICES 4 CHILDREN LTD
Ingleside childrens Home LimitedSelected, INGLESIDE CHILDREN'S HOME LTD Dissolved
St Hill Establishments LtdSelected, ST HILL ESTABLISHMENTS LTD
Flying Spur LimitedSelected, FLYING SPUR LIMITED
Northern Life Care LimitedSelected, NORTHERN LIFE CARE LIMITED
The Senad Group LimitedSelected, THE SENAD GROUP LIMITED
Active 8 Care LtdSelected, KEYS ACTIVE 8 CARE LIMITED
Aston childrens Care LtdSelected, ASTON CHILDREN'S CARE LTD
New StartSelected, NEW START HIGHLAND
Child First LimitedSelected, CHILD FIRST LIMITED
Hesley Services LimitedSelected, HESLEY SERVICES LIMITED
Heartwood Residential Services LtdSelected, HEARTWOOD RESIDENTIAL SERVICES LTD
National Autistic SocietySelected, NATIONAL AUTISTIC SOCIETY(THE)
Footsteps Care Homes LimitedSelected, FOOTSTEPS CARE HOMES LIMITED
Duty of Care LimitedSelected, DUTY OF CARE LIMITED
Diverse Abilities Plus Ltd.Selected, DIVERSE ABILITIES PLUS LTD
The St Christopher SchoolSelected, SEN TRUST SOUTHEND
Country Care Childrens Homes LimitedSelected, COUNTRY CARE CHILDRENS HOMES LTD
Essandore LimitedSelected, ESSANDORE LIMITED
Anna House LimitedSelected, ANNA HOUSE LIMITED
Cherry Cottage LimitedSelected, CHERRY COTTAGE LIMITED Dissolved
Rushcliffe Specialist Schools (Mickleover) LtdSelected, RUSHCLIFFE SPECIALIST SCHOOLS (MICKLEOVER) LIMITED
Chartwell Care Services LtdSelected, CHARTWELL CARE SERVICES LIMITED
Options Autism (5) LimitedSelected, OPTIONS AUTISM (5) LIMITED
Stepping Stones childrens Services LimitedSelected, STEPPING STONES CHILDREN'S SERVICES LTD
John-Edwards Care Homes LtdSelected, JOHN-EDWARDS CARE HOMES LTD
Carehome LimitedSelected, ANCHOR CAREHOMES LIMITED Dissolved
Ownlife LimitedSelected, OWNLIFE LIMITED
PCT Care Services LimitedSelected, PCT CARE SERVICES LIMITED
New Horizons (stockport) LtdSelected, NEW HORIZONS (STOCKPORT) LTD
Nestlings Care LtdSelected, NESTLINGS CARE LTD
Continuum Support - Care Services LtdSelected, CONTINUUM SUPPORT - CARE SERVICES LTD
Jamores LimitedSelected, JAMORES LIMITED
After Care (N W) LimitedSelected, AFTER CARE (N W) LIMITED
R Place LimitedSelected, R PLACE LIMITED
Kites Children Services LtdSelected, KITES CHILDRENS SERVICES LIMITED
Autism Initiatives (UK)Selected, AUTISM INITIATIVES (UK)
Hamelin TrustSelected, HAMELIN TRUST
Lytham Care LimitedSelected, LYTHAM CARE LIMITED
Branas Isaf (holdings) LimitedSelected, BRANAS ISAF (HOLDINGS) LIMITED
Choices Home For Children LimitedSelected, CHOICES HOME FOR CHILDREN LIMITED
Praxis CareSelected, PRAXIS CARE
Chailey Heritage FoundationSelected, CHAILEY HERITAGE FOUNDATION
Greenacre Care Services LimitedSelected, GREENACRE CARE SERVICES LIMITED Dissolved
The Place Young Peoples CompanySelected, THE PLACE YOUNG PEOPLES COMPANY LIMITED
White Lodge CentreSelected, WHITE LODGE CENTRE
Whats Out There LimitedSelected, WHAT'S OUT THERE LIMITED
Tulip Care Two LimitedSelected, TULIP CARE TWO LIMITED
The Chiltern Centre for Disabled Children LimitedSelected, THE CHILTERN CENTRE LIMITED
Broadlands Hall LtdSelected, BROADLANDS HALL LIMITED
Oakfields childrens Care LimitedSelected, OAKFIELDS CHILDREN'S CARE LIMITED
Back on Track childrens Services SE LtdSelected, BACK ON TRACK CHILDREN'S SERVICES SE LTD
Quality Time Care LtdSelected, KEYS QTC LIMITED
Albrighton Care LtdSelected, ALBRIGHTON CARE LIMITED
Positive Steps (Care Services) LimitedSelected, POSITIVE STEPS (CARE SERVICES) LIMITED Dissolved
Young Alliance LimitedSelected, YOUNG ALLIANCE LIMITED
Young Foundations LimitedSelected, YOUNG FOUNDATIONS LIMITED
Living Life (UK) LimitedSelected, LIVING LIFE (UK) LIMITED
Kedleston (Wings Education) LimitedSelected, KEDLESTON (WINGS EDUCATION) LIMITED
KidsSelected, KIDS PLANET DAY NURSERIES LIMITED
OASIS CARE SERVICES LIMITEDSelected, OASIS CARE SERVICES LIMITED
Adecyn childrens Home LtdSelected, ADECYN CHILDREN'S HOME LTD
Tumblewood Project LtdSelected, WITHERSLACK WILTSHIRE LIMITED
Care Haven (UK) LtdSelected, CARE HAVEN (UK) LTD
The Roman Catholic Dioscese of Arundel and BrightonNo results Modify search term,
The Cuckfield Care Consultancy LimitedSelected, THE CUCKFIELD CARE CONSULTANCY LIMITED
Building Bridges Care Homes LtdSelected, BUILDING BRIDGES (CARE HOMES) LIMITED
Nurture Childcare Services LtdSelected, NURTURE CHILDCARE SERVICES LTD
Oak House Childrens Homes LtdSelected, OAK HOUSE CHILDRENS HOME LTD
Eagle childrens HomeSelected, EAGLE CHILDRENS HOME LIMITED
The Sheiling Special Education TrustSelected, THE SHEILING SPECIAL EDUCATION TRUST
2nd Nurture LtdSelected, 2ND NURTURE LIMITED
Talbot House School Newcastle Upon TyneSelected, TALBOT HOUSE CHILDREN'S CHARITY LIMITED
CASC (Barrow) LimitedSelected, CASC (BARROW) LIMITED
Langley House (Harwich) LimitedSelected, LANGLEY HOUSE (HARWICH) LIMITED Dissolved
Crusoe Care LimitedSelected, CRUSOE CARE LIMITED
Inspirations Leicestershire LimitedSelected, INSPIRATIONS LEICESTERSHIRE LIMITED
LivabilitySelected, LIVABILITY
Island Choices LtdSelected, ISLAND CHOICES LTD
Silverlining ChildcareSelected, STRENGTHENING SUPPORT SERVICES LTD
Social Care Services LimitedSelected, SOCIAL CARE SERVICES LIMITED
Laurel Leaf Homes LtdSelected, LAUREL LEAF HOMES LTD
J & R Care LimitedSelected, J & R CARE LIMITED
Arronbeth LtdSelected, ARRONBETH LTD
Able Health Care LimitedSelected, CANE & ABLE HEALTH CARE LIMITED In liquidation
Causeway Care Homes LtdSelected, CAUSEWAY CARE HOMES LTD
Tulip Care One LimitedSelected, TULIP CARE ONE LIMITED
The Rose Road AssociationSelected, THE ROSE ROAD ASSOCIATION
Adeza Care Homes LimitedSelected, ADEZA CARE HOMES LIMITED
A Significant Other LimitedSelected, A SIGNIFICANT OTHER LIMITED
Care 4 Children Residential Services LtdSelected, YOUR CHAPTER LIMITED
Absolute childrens Services LtdSelected, ABSOLUTE CHILDRENS SERVICES LTD
Beacon ChildCare LtdSelected, BEACON CHILDCARE LTD
Pathway Care Solutions Group LimitedSelected, PATHWAY CARE SOLUTIONS GROUP LIMITED
The Daughters of the Cross of LiegeSelected, THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE
Aurora Care Young Peoples ServicesSelected, AURORA CARE YOUNG PEOPLE'S SERVICES LIMITED Dissolved
Footsteps To Futures LtdSelected, FOOTSTEPS TO FUTURES LIMITED
My Life-My Choice LimitedSelected, MY LIFE CHOICE LTD
Clouds childrens Care LimitedSelected, CLOUDS CHILDRENS CARE LIMITED
Exeter Royal Academy For Deaf EducationSelected, EXETER ROYAL ACADEMY FOR DEAF EDUCATION.
Barford childrens Services LimitedSelected, BARFORD CHILDREN'S SERVICES LIMITED Dissolved
Footsteps Care LimitedSelected, FOOTSTEPS CARE LIMITED
Kartikeya Solutions LimitedSelected, KARTIKEYA SOLUTIONS LIMITED
Platform Childcare LtdSelected, PLATFORM CHILDCARE LTD
Inmind Childrens Services LimitedSelected, INMIND CHILDREN'S SERVICES LIMITED Dissolved
RNIB CharitySelected, RNIB CHARITY
South West Childcare Services LtdSelected, SOUTH WEST CHILDCARE SERVICES LTD
Approach-Development (NE) LtdSelected, APPROACH-DEVELOPMENT (NE) LTD.
Family Child Care LtdSelected, HAPPY FAMILIES CHILD CARE LIMITED Dissolved
Kedleston (High Peak School) LimitedSelected, KEDLESTON (HIGH PEAK SCHOOL) LIMITED
Park Blue Homes LimitedSelected, PARK BLUE HOMES LIMITED
Serenity Care Homes LtdSelected, SERENITY CARE HOMES LTD
MacIntyre AcademiesSelected, MACINTYRE ACADEMIES
Kattz LtdSelected, KATTZ (AH) LTD
Positive Outcomes Childcare LtdSelected, POSITIVE OUTCOMES CHILDCARE LIMITED
North East Specialist Therapeutic Services CICSelected, NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC
Safe Base Care LimitedSelected, SAFE BASE CARE LIMITED
Hennessy Living Group LtdSelected, HENNESSY LIVING GROUP LIMITED
White Orchid Marston Moretaine LimitedSelected, WHITE ORCHID MARSTON MORETAINE LIMITED
Cambian Asperger Syndrome Services LimitedSelected, CAMBIAN ASPERGER SYNDROME SERVICES LIMITED
Exceptional Care LtdSelected, EXCEPTIONAL CARE LIMITED Dissolved
Life Change Care LimitedSelected, LIFE CHANGE CARE LTD
Carbrey Care LtdSelected, CARBREY CARE LTD
Holistic Approach LtdSelected, HOLISTIC APPROACH LTD
Icare childrens Services LtdSelected, ICARE CHILDRENS SERVICES LIMITED Dissolved
Tlc Youth Care LimitedSelected, TLC YOUTH CARE LIMITED
SLOUGH CHILDREN FIRST LIMITED ()Selected, SLOUGH CHILDREN FIRST LIMITED
Lonsdale Care LtdSelected, LONSDALE CARE LTD
Devon & Cornwall Autistic Community TrustSelected, DEVON & CORNWALL AUTISTIC COMMUNITY TRUST In liquidation
Companies (1)Select allModify search termSort by,RelevanceTurnoverNameRegistered numberNumber of employees
DEVON & CORNWALL AUTISTIC COMMUNITY TRUST In liquidation,
"c/o Francis Clark Llp, Centenary House, Peninsula Park, Exeter, Devon, EX2 7XE, England",
"Public Administration, Education, Health Social Services",
GB01662611,
14.4 m GBP turnover,
445 employees,
A&t Home LtdSelected, A & T HOMES LIMITED Dissolved
Quality Care Homes (uk) LimitedSelected, QUALITY CARE HOMES (UK) LIMITED
Sunderland Care And Support LimitedSelected, SUNDERLAND CARE AND SUPPORT LIMITED
Kennet Care LimitedSelected, KENNET CARE LIMITED
South West Mental Health LtdSelected, 1848 LTD
Next Stage 4 LifeSelected, NEXT STAGE 4 LIFE LTD
River Valley Care LtdSelected, RIVER VALLEY CARE LIMITED
Headway House LimitedSelected, HEADWAY HOUSE LIMITED Dissolved
Resolute Care LtdSelected, RESOLUTE CARE LTD
Hygge Care LimitedSelected, HYGGE CARE LTD
Potensial LtdSelected, POTENSIAL LIMITED
Broadwood Residential LtdSelected, KEYS BR LIMITED
Kingdom Care Childrens Homes LtdSelected, KEYS KIN LIMITED
Harmony Residential Homes LtdSelected, HARMONY RESIDENTIAL HOMES LTD
Thornleigh Camphill Communities LtdSelected, THORNLEIGH CAMPHILL COMMUNITIES LIMITED
Solent Child Care LtdSelected, SOLENT CHILD CARE LIMITED
Phoenix Care And Education LtdSelected, PHOENIX CARE & EDUCATION LTD
Personal Security Service LtdSelected, PERSONAL SECURITY SERVICE LTD Dissolved
Aurora Care and Education Opco LimitedSelected, AURORA CARE AND EDUCATION OPCO LIMITED
Sherlock Healthcare Services LtdSelected, SHERLOCK HEALTHCARE SERVICES LTD
In Safe Hands Care LtdSelected, IN SAFE HANDS CARE LTD
G.V Kids LtdSelected, G.V KIDS LTD Dissolved
Friends Together Care Homes LtdSelected, FRIENDS TOGETHER CARE HOMES LTD
The Percy Hedley FoundationSelected, THE PERCY HEDLEY FOUNDATION
Children Of The Mangrove LimitedSelected, CHILDREN OF THE MANGROVE LIMITED
Happy Group (UK) LimitedSelected, HAPPY GROUP (UK) LIMITED
Care 4 ChildrenSelected, YOUR CHAPTER HOLDINGS LIMITED
Care 4 Children Holdco LimitedSelected, YOUR CHAPTER HOLDINGS LIMITED
Treehouse Educare LimitedSelected, TREEHOUSE EDUCARE LIMITED
Future Focused LtdSelected, FUTURE FOCUSED LTD Dissolved
Headstart Care LLPSelected, HEADSTART CARE LLP Dissolved
Keir Lock childrens Homes LtdSelected, KEIR LOCK CHILDRENS HOMES LTD
Interactive Development Support LimitedSelected, INTERACTIVE DEVELOPMENT SUPPORT LIMITED
Fonjocks Social Work Practice LimitedSelected, FONJOCK'S SOCIAL WORK PRACTICE LIMITED
Inspire Care (uk) LimitedSelected, INSPIRE CARE (UK) LIMITED
Netheredge Care LimitedSelected, NETHEREDGE CARE LIMITED
EnhanceAbleSelected, ENHANCEABLE
Bayis Sheli LimitedSelected, BAYIS SHELI LTD
Newrays Care Services LtdSelected, NEWRAYS CARE SERVICES LIMITED Dissolved
Aspire Care And Education ServicesSelected, ASPIRE CARE AND EDUCATION SERVICES LIMITED
Evergreen childrens Home LtdSelected, EVERGREEN CHILDRENS HOME LTD
Altum Residential Care LtdSelected, ALTUM RESIDENTIAL CARE LTD
Chaigeley Educational FoundationSelected, CHAIGELEY EDUCATIONAL FOUNDATION
Caldecott Foundation LimitedSelected, THE CALDECOTT FOUNDATION LIMITED
Holly Lodge Home LimitedSelected, HOLLY LODGE HOME LTD
Sankofa Care LtdSelected, SANKOFA CARE LIMITED
No. 57 LtdSelected, NAMECO (NO.57) LIMITED
Stepping Stone childrens Homes LtdSelected, STEPPING STONES CHILDRENS HOMES LIMITED
My3 LtdSelected, MY3 LTD Dissolved
Haven Care Group LimitedSelected, HAVEN CARE GROUP LIMITED
Watermead Care LtdSelected, WATERMEAD CARE LTD
Partnerships In Care 1 LimitedSelected, PARTNERSHIPS IN CARE 1 LIMITED
West Cumbria Care And SupportSelected, WEST CUMBRIA CARE AND SUPPORT
Good News Nwk LtdSelected, GOOD NEWS NWK LTD
Resilience North East LimitedSelected, RESILIENCE NORTH EAST LIMITED
Little Belsteads Care Home LimitedSelected, LITTLE BELSTEADS CARE HOME LIMITED
Headway Adolescent Resources LtdSelected, HEADWAY ADOLESCENT RESOURCES LIMITED
Achieving Aspirations Community Interest CompanySelected, ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
T-junction childrens Services LtdSelected, T-JUNCTION CHILDRENS SERVICES LTD
Paddock House LimitedSelected, PADDOCK HOUSE LIMITED Dissolved
The Norman Laud AssociationSelected, THE NORMAN LAUD ASSOCIATION Dissolved
The Spring childrens And Transitional Care LtdSelected, THE SPRING CHILDREN'S AND TRANSITIONAL CARE LTD Dissolved
Oaktree Childcare LtdSelected, OAKTREE CHILDCARE LIMITED
Advising Health And Social-Care LimitedSelected, ADVISING HEALTH AND SOCIAL-CARE LIMITED Dissolved
Homes 2 inspire LimitedSelected, HOMES 2 INSPIRE LIMITED
Smartcare Services LtdSelected, SMARTCARE SERVICES LIMITED
Together For Children Sunderland LimitedSelected, TOGETHER FOR CHILDREN SUNDERLAND LIMITED
Exitus Childrens Care LtdSelected, EXITUS CHILDRENS CARE LTD
The Good Support Group LtdSelected, THE GOOD SUPPORT GROUP LIMITED In liquidation
Cameron And Cooper LimitedSelected, CAMERON & COOPER LIMITED
Curam Domi Solutions LtdSelected, CURAM DOMI SOLUTIONS LTD
Ravensbourne ProjectSelected, RAVENSBOURNE PROJECT
Orchard Children Homes LimitedSelected, ORCHARD CHILDREN HOMES LTD
swan Cottage LimitedSelected, SWAN COTTAGE LIMITED
Happy Children Home LimitedSelected, HAPPY CHILDREN HOME LIMITED
Outbound Care LtdSelected, OUTBOUND CARE LIMITED
Aurora Asd LtdSelected, AURORA ASD LIMITED
Apex childrens Services LimitedSelected, APEX CHILDRENS SERVICES LTD
Autonomy Plus LimitedSelected, AUTONOMY PLUS LIMITED
Care 2 Share LimitedSelected, CARE 2 SHARE LIMITED
Stone lake London LimitedSelected, STONE LAKE LONDON LIMITED
ACCALIA CARE SERVICES LTDSelected, ACCALIA CARE SERVICES LTD
Bay Tree House (gravesend) LimitedSelected, BAY TREE HOUSE (GRAVESEND) LIMITED
Rite DirectionsSelected, RITE DIRECTIONS LTD
Friends & Co LimitedSelected, FRIENDS & CO LIMITED
Oasis Adolescent Services LimitedSelected, OASIS ADOLESCENT SERVICES LIMITED
Solid Global LimitedSelected, SOLID GLOBAL LIMITED
Ashwood childrens Care Home LtdSelected, ASHWOOD CHILDRENS CARE HOME LTD
Brythan House LimitedSelected, BRYTHAN HOUSE LIMITED
Flourish (gloucestershire) LimitedSelected, FLOURISH (GLOUCESTERSHIRE) LIMITED
Unseen UkSelected, UNSEEN (UK)
Care Perspectives LtdSelected, CARE PERSPECTIVES LIMITED
Dynamic Childcare LimitedSelected, HORIZON INDEPENDENT CARE LTD Dissolved
Impact For Change LtdSelected, IMPACT FOR CHANGE LTD
Autism Sussex LtdSelected, AUTISM SUSSEX LIMITED
4pureheart LimitedSelected, 4PUREHEART LIMITED
Seaside Care Homes LtdSelected, SEASIDE CARE HOMES LIMITED
Q PlusSelected, Q PLUS PLUS LIMITED Dissolved
Restoration Care & Services LimitedSelected, RESTORATION CARE & SERVICES LIMITED
Elysium Healthcare LtdSelected, ELYSIUM HEALTHCARE LIMITED
Soteria House LimitedSelected, SOTERIA HOUSE LIMITED Dissolved
Headstart Residential Care LtdSelected, HEADSTART RESIDENTIAL CARE LTD
K&g Care LtdSelected, K & G CARE LTD
GS Social Care Solutions LtdSelected, GS SOCIAL CARE SOLUTIONS LTD
Birmingham childrens Trust LimitedSelected, BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY
Cambian Childcare LimitedSelected, CAMBIAN CHILDCARE LIMITED
Tlc Youth Care LtdSelected, TLC YOUTH CARE LIMITED
Keswick Care LtdSelected, KESWICK CARE LIMITED
A & T HOME LIMITEDSelected, A & T HOME LIMITED Dissolved
Hennessy Living Group LimitedSelected, HENNESSY LIVING GROUP LIMITED
Hygge Care LtdSelected, HYGGE CARE LTD
Bryn Melyn Care LimitedSelected, BRYN MELYN CARE LIMITED
Beacon ChildcareSelected, BEACON CHILDCARE LTD
Cove Care - Residential LimitedSelected, COVE CARE RESIDENTIAL LIMITED
Time-Out childrens Homes LtdSelected, TIMEOUT CHILDRENS HOMES LIMITED
South West Childcare ServicesSelected, SOUTH WEST CHILDCARE SERVICES LTD
Broadwood Educational Services LimitedSelected, KEYS EDUCATIONAL SERVICES LIMITED
Stepping Stones Childrens Homes LtdSelected, STEPPING STONES CHILDRENS HOMES LIMITED
Dmr Services LtdSelected, DMR SERVICES LIMITED
My3 LimitedSelected, MY3 LIMITED
West Cumbria Care and SupportSelected, WEST CUMBRIA CARE AND SUPPORT
Acorn childrens Home (Branston) LtdSelected, ACORN CHILDREN'S HOME (BRANSTON) LTD In liquidation
T-Junction childrens Services LtdSelected, T-JUNCTION CHILDRENS SERVICES LTD
Inspire Social Care Services LimitedSelected, RESTORATIVE SOCIAL CARE SERVICES LTD.
Homes 2 Inspire LimitedSelected, HOMES 2 INSPIRE LIMITED
Silverlining Childcare LimitedSelected, STRENGTHENING SUPPORT SERVICES LTD
Proactive Care (Manchester) LtdSelected, PROACTIVE CARE (MANCHESTER) LTD
Gravitas Care LtdSelected, GRAVITAS CARE LIMITED
Apex childrens ServicesSelected, APEX CHILDRENS SERVICES LTD
Albrighton CareSelected, ALBRIGHTON CARE HOMES LTD Dissolved
Skyline Child Care LtdSelected, SKYLINE CHILD CARE LIMITED
Positive Individual Proactive Support LimitedSelected, POSITIVE INDIVIDUAL PROACTIVE SUPPORT LIMITED
Horizon Transitional Care LtdSelected, HORIZON TRANSITIONAL CARE LTD
Woodford childrens Home LtdSelected, WOODFORD CHILDREN'S HOME LIMITED
Garway Young People LtdSelected, GARWAY YOUNG PEOPLE LIMITED
Nurture Me Psychological Services LimitedSelected, NURTURE ME PSYCHOLOGICAL SERVICES LTD
Tab Care And Support LimitedSelected, TAB CARE AND SUPPORT LTD
STEP UP CHILDREN AND FAMILY SERVICES LIMITEDSelected, STEP UP CHILDREN AND FAMILY SERVICES LIMITED
Options Autism (4) LtdSelected, OPTIONS AUTISM (4) LIMITED
Discovered LimitedSelected, DISCOVERED LIMITED Dissolved
Tees-Valley Care LimitedSelected, TEES-VALLEY CARE LIMITED
Heathcotes Cs LtdSelected, HEATHCOTES CS LIMITED
Birmingham childrens Trust Community Interest CompanySelected, BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY
Evoke Care LimitedSelected, EVOKE CARE GROUP LIMITED
The Mulberry Bush Organisation LtdSelected, THE MULBERRY BUSH ORGANISATION LIMITED
Invested Childcare LimitedSelected, INVESTED CHILDCARE LTD
Acorn childrens Homes (Branston) LtdSelected, ACORN CHILDREN'S HOME (BRANSTON) LTD In liquidation
All Round Care LtdSelected, ALL ROUND CARE LTD
Inspire Social Care Services LtdSelected, RESTORATIVE SOCIAL CARE SERVICES LTD.
De Novo Care LtdSelected, 'DE NOVO' CARE LTD
New Roots childrens ServicesSelected, NEW ROOTS CHILDREN'S SERVICES LIMITED
Genesis CTE LtdSelected, GENESIS CTE LIMITED
Blue Elephant Childcare LtdSelected, BLUE ELEPHANT CHILDCARE LTD
Mig House Residential Care Home LtdSelected, MIG HOUSE RESIDENTIAL CARE HOME LIMITED
Aspire House LtdSelected, ASPIRE HOUSE LTD
Smooth stone Care And Education LtdSelected, SMOOTH STONE CARE AND EDUCATION LIMITED
First Blue Healthcare LimitedSelected, FIRST BLUE HEALTHCARE LIMITED
Lioncare LtdSelected, LIONCARE LIMITED
Milestones Care Homes LtdSelected, MILESTONES CARE HOMES LTD
Ivie Lodge LtdSelected, IVIE LODGE LIMITED
St Elizabeths CentreSelected, ST ELIZABETH'S CENTRE
Progressive Care LimitedSelected, PROGRESSIVE CARE LIMITED
Keys Child Care LimitedSelected, KEYS CHILD CARE LIMITED
Care Afloat LtdSelected, CARE AFLOAT LTD.
Keys Education LtdSelected, KEYS EDUCATION LIMITED
MacIntyreSelected, MACINTYRE HUDSON LLP
Future In MindSelected, FUTURE IN MIND LIMITED
Mr Jim Buchanan & Mrs Ivy ThompsonNo results Modify search term,
Crystal Care SolutionsSelected, CRYSTAL CARE SOLUTIONS LIMITED
Full Circle Care LtdSelected, FULL CIRCLE CARE LTD
Able Health Care LtdSelected, CANE & ABLE HEALTH CARE LIMITED In liquidation
Teen-Works Care LtdSelected, TEEN-WORKS CARE LIMITED
Adecyn Childrens Homes LtdSelected, ADECYN CHILDREN'S HOME LTD
Inspirations Leicestershire LtdSelected, INSPIRATIONS LEICESTERSHIRE LIMITED
Continuum Support Care Services LtdSelected, CONTINUUM SUPPORT - CARE SERVICES LTD
Back On Track childrens Services Se Ltd.Selected, BACK ON TRACK CHILDREN'S SERVICES SE LTD
Steps 4 Life Care LimitedSelected, STEPS 4 LIFE CARE LTD
Absolute Childrens Services LtdSelected, ABSOLUTE CHILDRENS SERVICES LTD
ACCALIA CARE SERVICES LTD.Selected, ACCALIA CARE SERVICES LTD
North East Specialist Therapeutic Services CicSelected, NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC
United Health LimitedSelected, YCH (NO.2) PLC Dissolved
Clouds childrens Care LtdSelected, CLOUDS CHILDRENS CARE LIMITED
Keys BR LimitedSelected, KEYS BR LIMITED
