"","Organisation_fame_search"
"1","children assisted in a real environment ltd"
"2","Amegreen childrens Services Limited"
"3","New Forest Care Ltd"
"4","St Cuthberts Care"
"5","Care Focus Limited"
"6","The Serendipity Centre Limited"
"7","Priory New Education Services Limited"
"8","ERA Care Limited"
"9","Howard House Care Limited"
"10","Keys Education Limited"
"11","Horton Establishments Ltd"
"12","The National Centre for Young People with Epilepsy"
"13","Roundhouse Care Ltd"
"14","Ethelbert Specialist Homes Limited"
"15","Physis Quantum Limited"
"16","Bryn Melyn Care"
"17","Thoughts of Others Ltd"
"18","Cambian Childcare Ltd"
"19","SES Turnstone Limited"
"20","Key Change childrens Service Limited"
"21","Progress childrens Services"
"22","Anderida Adolescent Care"
"23","Hexagon Care Services Limited"
"24","Verve Life Limited"
"25","Esland North Limited"
"26","Artemis Support Ltd"
"27","Hillcrest childrens Services Ltd"
"28","Moonreach Ltd"
"29","Crossway Services Limited"
"30","Roseberry Specialist Care Centres Ltd"
"31","Action For Children"
"32","Doncaster childrens Services Trust Limited"
"33","Quantum Care UK Limited"
"34","Atlas Healthcare Ltd"
"35","Arc Hd Services Ltd"
"36","Time-Out childrens Homes Limited"
"37","Crossways Care Ltd"
"38","Witherslack Group Ltd"
"39","Shyne Together Limited"
"40","Progressive Care Ltd"
"41","Five Rivers Child Care Limited"
"42","KEYS EDUCATIONAL SERVICES LIMITED"
"43","ABC Care and Education Ltd"
"44","Nh Care Limited"
"45","Benecare Limited"
"46",""
"47","Children and Family Services Limited"
"48","Individual Specialist Care Ltd"
"49","Little Acorns London Beach Farm Limited"
"50","Care Management Solutions Limited"
"51","Carlisle Mencap Ltd"
"52","Imap Centre Limited"
"53","Southern Adolescent Care Services Ltd"
"54","Pathway Care Solutions Ii Ltd"
"55","Horizon Care Limited"
"56","Hillcrest Childrens Services Limited"
"57","Reamcare Limited"
"58","Channels and Choices Limited"
"59","We Are Beams"
"60","St Christophers Fellowship"
"61","Nugent Care"
"62","Radical Services Ltd"
"63","The childrens Trust"
"64","Daisybrook Limited"
"65","Partners in Care Limited"
"66","Acorn Norfolk Limited"
"67","Sherico Care Services Limited"
"68","Castle Homes Limited"
"69","Rosedale childrens Services Limited"
"70","Right-Trak Limited"
"71","Evolution Childrens Services Limited"
"72","Oracle Care Limited"
"73","Strode Park Foundation for People with Disabilities"
"74","Break"
"75","The Ryes College Limited"
"76","G B A Care Ltd"
"77","Lifetime Opportunities Ltd"
"78","Potton Homes Ltd"
"79","Family Care Associates Limited"
"80","Castle Homes Care Ltd"
"81","Reflexion Care Group Limited"
"82","Keys Care Limited"
"83","Kedleston (Wood Grove Childcare) Ltd"
"84","Priory Education Services Limited"
"85","Ferndearle Child Care Services Limited"
"86","Jubilee House Care Trust Limited"
"87","Longdon Hall School Limited"
"88","Hopscotch Care Limited"
"89","Consensus Support Services Ltd"
"90","Plus One (South West) Ltd"
"91","Clover Childcare Services Ltd"
"92","Care 2 Share 2 Ltd"
"93","The Beeches UK Ltd"
"94","Pathways Care Group Limited"
"95","Barnardiston Hall Preparatory School Limited"
"96","Quality Protects Children Ltd"
"97","New Horizons Childcare Ltd"
"98","The Drive Care Homes Ltd"
"99","Cambian Whinfell School Ltd"
"100","Roc Northwest Ltd"
"101","Prestige Adolescent Care And Education Limited"
"102","Doncaster Deaf Trust"
"103","Amos Aftercare Moving On Scheme Ltd"
"104","Greenfields Adolescent Development Limited"
"105","Aspire House Partnership"
"106","Fairfield Residential Ltd"
"107","Highfield (North East) Limited"
"108","Alicie Enterprises Limited"
"109","Aspireone Care Ltd"
"110","Institute of Integrated Systemic Therapy"
"111","My Choice childrens Homes Ltd"
"112","Semi-Independent House Limited"
"113","The Together Trust"
"114","Knossington Grange School Ltd"
"115","The Qalb Short Break Services Ltd"
"116","Care Today Childrens Services childrens Services"
"117","The Vine Residential Services (TVRS) Ltd"
"118","A J Residential Care Ltd"
"119","Channels and Choices Kent LLP"
"120","Unity Residential Care Services"
"121","Phoenix Child Care Limited"
"122","Grace Care Limited"
"123","Acorn Homes (UK) Limited"
"124","Utopia childrens Services Ltd"
"125","Direct Care Ltd"
"126","Future In Mind Limited"
"127","North Lakes childrens Services Limited"
"128","Shalamar Children Limited"
"129","Merryvale childrens Home Limited"
"130","MacIntyre Care"
"131","Parkview Care (broadstairs) Limited"
"132","Capstone Care Provider Limited"
"133","MGM Care Services Ltd"
"134","Care And Management Services Limited"
"135","Searchlight Care Services Ltd"
"136","Bright Futures Care Limited"
"137","Inroads Essex Limited"
"138","Pine Forest Homes Limited"
"139","Calcot Services For Children Limited"
"140","Cotswold Chine School"
"141","Platinum Services For Children (residential Care) Ltd"
"142","Underley Schools Limited"
"143","Outdoor Care Limited"
"144","Delam Care Limited"
"145","Dove Adolescent Services Limited"
"146","Time-Out Childrens Homes Limited"
"147","Courtyard Care Limited"
"148","Pilgrims Corner Limited"
"149","Pathfinders (childcare) Ltd"
"150","TreeHouse Care Fostering Solutions Ltd"
"151","Ronanda Limited"
"152","Blackford Education (schools) Ltd"
"153","North East Autism Society"
"154","Inspire Childrens Services Limited"
"155","Keys Childcare Ltd"
"156","New Options Limited"
"157","Halliwell Homes Limited"
"158","Positive Pathways Limited"
"159","Acorn Care (UK) Limited"
"160","One To One Crisis Intervention Ltd"
"161","Archways Care Ltd"
"162","Educare Adolescent Services Limited"
"163","Fairways Care (uk) Limited"
"164","Active Ark Limited"
"165","Steps 4 Life Care Ltd"
"166","Unique Care Homes Support Limited"
"167","Heartwood RSW Ltd"
"168","Cove Care Residential Ltd"
"169","Marlowe Child & Family Services Limited"
"170","Care Management Group Limited"
"171","M.J. Childrens Services Limited"
"172","Phoenix Learning And Care Ltd"
"173","Pebbles Care"
"174","Bramley Care Limited"
"175","S P Homes Limited"
"176","The Chartwell Group of Companies Limited"
"177","Pathway Care Solutions Ltd"
"178","Considerate Care Limited"
"179","Headway Adolescent Resources Limited"
"180","Hopscotch Solutions Limited"
"181","Aspirations Care Limited"
"182","Interact Care Limited"
"183","Sunfield childrens Homes Limited"
"184","Blue Mountain Homes Ltd"
"185","Nottinghamshire Ymca"
"186","Cornerstone childrens Homes Limited"
"187","Fairport Care Services Ltd"
"188","The Amicus Community Arundel Limited"
"189","Beaufort Care Group"
"190","Spark Of Genius North East Llp"
"191","Woodside House Care Ltd"
"192","A Wilderness Way Ltd"
"193","Lifeworks Charity Limited"
"194","Progress Care and Education Limited"
"195","Meadows Care Ltd"
"196","Lioncare Limited"
"197","Surecare Residential Ltd"
"198","Cambian Signpost Limited"
"199","Sea Shell Trust Limited"
"200","Compass childrens Homes Ltd"
"201","Dmr Services Limited"
"202","Holme Farm Residential Village Limited"
"203","Good Foundations Limited"
"204","The Loddon Foundation Ltd"
"205","Overley Hall School Limited"
"206","Alliance Care & Education Limited"
"207","SES Avocet Limited"
"208","Hopedale Children and Family Services Limited"
"209","Total Care Matters Limited"
"210","Holibrook House Limited"
"211","3 Dimensions Care Limited"
"212","4d Care Ltd"
"213","Crystal Care Solutions Limited"
"214","The Caldecott Foundation Limited"
"215","Broadwood Residential Limited"
"216","Oakley House Childrens Home Limited"
"217","Milestones Care Homes Limited"
"218","Pear Tree Projects Limited"
"219","First 4 Care Ltd"
"220","Bay View Child Care Limited"
"221","Motivations Activity Projects Ltd"
"222","Cornerways childrens Services Limited"
"223","Keswick Care Limited"
"224","Amberleigh Care Limited"
"225","East Midlands Care Matters Limited"
"226","Wessex College"
"227","Aspire Residential Care Home Ltd"
"228","Ja Nailah Limited"
"229","Esland South Limited"
"230","Springfield Road Childrens Homes Ltd"
"231","Social Care Services (clayton) Limited"
"232","Arnfield Care Limited"
"233","Enabling Futures Ltd"
"234","Footsteps A Path To Change 08 Limited"
"235","Virgin Care Limited"
"236","Friends Therapeutic Community Trust"
"237","Frances House Ltd"
"238","Priors Court Foundation"
"239","Mulberry House Care Homes Limited"
"240","Full Circle Care"
"241","Hillcrest childrens Services (2) Ltd"
"242","Mayne Enterprises Limited"
"243","SWAAY Child and Adolescent Services Limited"
"244","Cherish Childrens Care Limited"
"245","Adventure Care Limited"
"246","HORIZON RESIDENTIAL HOMES LIMITED"
"247","Keys Group Progressive Care & Education Limited"
"248","Dame Hannah Rogers School"
"249","McRae Residential Care Services Limited"
"250","Hollybank Trust"
"251","ARC Adventure (Sussex) Ltd"
"252","New Horizons (nw) Ltd"
"253","Barnardos"
"254","Winsbeach childrens Home Limited"
"255","Cambian Autism Services Limited"
"256","Keys Specialist Residential childrens Services Ltd"
"257","Acorn Homes (uk) Ltd"
"258","PIC childrens Services Limited"
"259","Dalepeak Limited"
"260","Idem Living Ltd"
"261","Serenity Specialist Care Limited"
"262","St. Christophers Fellowship"
"263","RUBICON CHILDREN & FAMILY SERVICES LIMITED"
"264","Castlecare Cymru Limited"
"265","Thunderbolt Mobile Limited"
"266","Bridge Communities Limited"
"267","Aspire Child Care Ltd"
"268","Appletree Treatment Centre Limited"
"269","Rowden House School Limited"
"270","Mangrove Care Limited"
"271","CareTech Community Services Limited"
"272","Lodge Group Care UK Limited"
"273","Independent Living Services (North West) Limited"
"274","Our Place (2008) Ltd"
"275","Kisimul Group Limited"
"276","Area Camden Ltd"
"277","Constant Child Care Ltd"
"278","Park Lane Residential Home Limited"
"279","Supporting Futures Limited"
"280","Maple Leaf Care Limited"
"281","Willows (Devon) Limited"
"282","Owned by an individual"
"283","MIG House Residential Care Home Limited"
"284","Westgate Lifestyle Project Limited"
"285","Step-a-Side Company Limited"
"286","Safehaven Residential and Respite Care Limited"
"287","Sandcastle Care Ltd"
"288","Norwood Ravenswood"
"289","Harmony Childrens Services"
"290","Satash Community Care Project Limited"
"291","Kisimul Group Ltd"
"292","Cruckton Hall Limited"
"293","Catholic Care (Diocese of Leeds)"
"294","The SENAD Group Limited"
"295","Progressive Futures Care Limited"
"296","Amelias House Limited"
"297","Stanfield Care Services Limited"
"298","Benjamin Uk Ltd"
"299","PJL Healthcare Limited"
"300","Horizon Care And Education Group Limited"
"301","Teen-Works Care Limited"
"302","Care Assist childrens Services Limited"
"303","White Orchid Care Limited"
"304","Cherry Trees Limited"
"305","Creating Care Choices Limited"
"306","Lynstead Childrens Services Ltd"
"307","Ruskin Mill Trust Limited"
"308","Birtenshaw"
"309","Chances CCFSS Limited"
"310","Acorn childrens Home (Burton) Ltd"
"311","Royal Mencap Society"
"312","Choices 4 Children Ltd"
"313","Ingleside childrens Home Limited"
"314","St Hill Establishments Ltd"
"315","Flying Spur Limited"
"316","Northern Life Care Limited"
"317","The Senad Group Limited"
"318","Active 8 Care Ltd"
"319","Aston childrens Care Ltd"
"320","New Start"
"321","Child First Limited"
"322","Hesley Services Limited"
"323","Heartwood Residential Services Ltd"
"324","National Autistic Society"
"325","Footsteps Care Homes Limited"
"326","Duty of Care Limited"
"327","Diverse Abilities Plus Ltd."
"328","The St Christopher School"
"329","Country Care Childrens Homes Limited"
"330","Essandore Limited"
"331","Anna House Limited"
"332","Cherry Cottage Limited"
"333","Rushcliffe Specialist Schools (Mickleover) Ltd"
"334","Chartwell Care Services Ltd"
"335","Options Autism (5) Limited"
"336","Stepping Stones childrens Services Limited"
"337","John-Edwards Care Homes Ltd"
"338","Carehome Limited"
"339","Ownlife Limited"
"340","PCT Care Services Limited"
"341","New Horizons (stockport) Ltd"
"342","Nestlings Care Ltd"
"343","Continuum Support - Care Services Ltd"
"344","Jamores Limited"
"345","After Care (N W) Limited"
"346","R Place Limited"
"347","Kites Children Services Ltd"
"348","Autism Initiatives (UK)"
"349","Hamelin Trust"
"350","Lytham Care Limited"
"351","Branas Isaf (holdings) Limited"
"352","Choices Home For Children Limited"
"353","Praxis Care"
"354","Chailey Heritage Foundation"
"355","Greenacre Care Services Limited"
"356","The Place Young Peoples Company"
"357","White Lodge Centre"
"358","Whats Out There Limited"
"359","Tulip Care Two Limited"
"360","The Chiltern Centre for Disabled Children Limited"
"361","Broadlands Hall Ltd"
"362","Oakfields childrens Care Limited"
"363","Back on Track childrens Services SE Ltd"
"364","Quality Time Care Ltd"
"365","Albrighton Care Ltd"
"366","Positive Steps (Care Services) Limited"
"367","Young Alliance Limited"
"368","Young Foundations Limited"
"369","Living Life (UK) Limited"
"370","Kedleston (Wings Education) Limited"
"371","Kids"
"372","OASIS CARE SERVICES LIMITED"
"373","Adecyn childrens Home Ltd"
"374","Tumblewood Project Ltd"
"375","Care Haven (UK) Ltd"
"376","The Roman Catholic Dioscese of Arundel and Brighton"
"377","The Cuckfield Care Consultancy Limited"
"378","Building Bridges Care Homes Ltd"
"379","Nurture Childcare Services Ltd"
"380","Oak House Childrens Homes Ltd"
"381","Eagle childrens Home"
"382","The Sheiling Special Education Trust"
"383","2nd Nurture Ltd"
"384","Talbot House School Newcastle Upon Tyne"
"385","CASC (Barrow) Limited"
"386","Langley House (Harwich) Limited"
"387","Crusoe Care Limited"
"388","Inspirations Leicestershire Limited"
"389","Livability"
"390","Island Choices Ltd"
"391","Silverlining Childcare"
"392","Social Care Services Limited"
"393","Laurel Leaf Homes Ltd"
"394","J & R Care Limited"
"395","Arronbeth Ltd"
"396","Able Health Care Limited"
"397","Causeway Care Homes Ltd"
"398","Tulip Care One Limited"
"399","The Rose Road Association"
"400","Adeza Care Homes Limited"
"401","A Significant Other Limited"
"402","Care 4 Children Residential Services Ltd"
"403","Absolute childrens Services Ltd"
"404","BEACON CHILDCARE LTD"
"405","Pathway Care Solutions Group Limited"
"406","The Daughters of the Cross of Liege"
"407","Aurora Care Young Peoples Services"
"408","Footsteps To Futures Ltd"
"409","My Life-My Choice Limited"
"410","Clouds childrens Care Limited"
"411","Exeter Royal Academy For Deaf Education"
"412","Barford childrens Services Limited"
"413","Footsteps Care Limited"
"414","Kartikeya Solutions Limited"
"415","Platform Childcare Ltd"
"416","Inmind Childrens Services Limited"
"417","RNIB Charity"
"418","South West Childcare Services Ltd"
"419","Approach-Development (NE) Ltd"
"420","Family Child Care Ltd"
"421","Kedleston (High Peak School) Limited"
"422","Park Blue Homes Limited"
"423","Serenity Care Homes Ltd"
"424","MacIntyre Academies"
"425","Kattz Ltd"
"426","Positive Outcomes Childcare Ltd"
"427","North East Specialist Therapeutic Services CIC"
"428","Safe Base Care Limited"
"429","Hennessy Living Group Ltd"
"430","White Orchid Marston Moretaine Limited"
"431","Cambian Asperger Syndrome Services Limited"
"432","Exceptional Care Ltd"
"433","Life Change Care Limited"
"434","Carbrey Care Ltd"
"435","Holistic Approach Ltd"
"436","Icare childrens Services Ltd"
"437","Tlc Youth Care Limited"
"438","SLOUGH CHILDREN FIRST LIMITED ()"
"439","Lonsdale Care Ltd"
"440","Devon & Cornwall Autistic Community Trust"
"441","A&t Home Ltd"
"442","Quality Care Homes (uk) Limited"
"443","Sunderland Care And Support Limited"
"444","Kennet Care Limited"
"445","South West Mental Health Ltd"
"446","Next Stage 4 Life"
"447","River Valley Care Ltd"
"448","Headway House Limited"
"449","Resolute Care Ltd"
"450","Hygge Care Limited"
"451","Potensial Ltd"
"452","Broadwood Residential Ltd"
"453","Kingdom Care Childrens Homes Ltd"
"454","Harmony Residential Homes Ltd"
"455","Thornleigh Camphill Communities Ltd"
"456","Solent Child Care Ltd"
"457","Phoenix Care And Education Ltd"
"458","Personal Security Service Ltd"
"459","Aurora Care and Education Opco Limited"
"460","Sherlock Healthcare Services Ltd"
"461","In Safe Hands Care Ltd"
"462","G.V Kids Ltd"
"463","Friends Together Care Homes Ltd"
"464","The Percy Hedley Foundation"
"465","Children Of The Mangrove Limited"
"466","Happy Group (UK) Limited"
"467","Care 4 Children"
"468","Care 4 Children Holdco Limited"
"469","Treehouse Educare Limited"
"470","Future Focused Ltd"
"471","Headstart Care LLP"
"472","Keir Lock childrens Homes Ltd"
"473","Interactive Development Support Limited"
"474","Fonjocks Social Work Practice Limited"
"475","Inspire Care (uk) Limited"
"476","Netheredge Care Limited"
"477","EnhanceAble"
"478","Bayis Sheli Limited"
"479","Newrays Care Services Ltd"
"480","Aspire Care And Education Services"
"481","Evergreen childrens Home Ltd"
"482","Altum Residential Care Ltd"
"483","Chaigeley Educational Foundation"
"484","Caldecott Foundation Limited"
"485","Holly Lodge Home Limited"
"486","Sankofa Care Ltd"
"487","No. 57 Ltd"
"488","Stepping Stone childrens Homes Ltd"
"489","My3 Ltd"
"490","Haven Care Group Limited"
"491","Watermead Care Ltd"
"492","Partnerships In Care 1 Limited"
"493","West Cumbria Care And Support"
"494","Good News Nwk Ltd"
"495","Resilience North East Limited"
"496","Little Belsteads Care Home Limited"
"497","Headway Adolescent Resources Ltd"
"498","Achieving Aspirations Community Interest Company"
"499","T-junction childrens Services Ltd"
"500","Paddock House Limited"
