"","Company.name","SH...Name","SH...Country.ISO.code","SH...Direct..","SH...Type","SH...City"
"1","WITHERSLACK GROUP LIMITED","WITHERSLACK GROUP (HOLDINGS) LIMITED","GB","100.00","Corporate","CARNFORTH"
"2","ASPRIS CHILDREN'S SERVICES LIMITED","ASPRIS BIDCO LIMITED","GB","100.00","Corporate","LEICESTER"
"3","CAMBIAN CHILDCARE LIMITED","ADVANCED CHILDCARE SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"4","CAMBIAN CHILDCARE LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"5","ELYSIUM HEALTHCARE LIMITED","ELYSIUM HEALTHCARE HOLDINGS 3 LIMITED","GB","100.00","Corporate","BOREHAMWOOD"
"6","ELYSIUM HEALTHCARE LIMITED","RAMSAY HEALTH CARE (UK) LIMITED","GB","-","Corporate","LONDON"
"7","KIDS PLANET DAY NURSERIES LIMITED","FREMMAN CAPITAL SL.","ES","100.00","Corporate","MADRID"
"8","CONSENSUS SUPPORT SERVICES LIMITED","SSCP PEGASUS BIDCO LIMITED","GB","100.00","Corporate","COLCHESTER"
"9","PRAXIS CARE","PRAXIS CARE","GB","FC","Corporate","BELFAST"
"10","SUNDERLAND CARE AND SUPPORT LIMITED","SUNDERLAND CARE AND SUPPORT (HOLDING COMPANY) LIMITED","GB","WO","Corporate","SUNDERLAND"
"11","CARETECH COMMUNITY SERVICES LIMITED","CARETECH HOLDINGS LIMITED","GB","100.00","Corporate","POTTERS BAR"
"12","KISIMUL GROUP LIMITED","KISIMUL SCHOOL HOLDINGS LIMITED","GB","100.00","Corporate","LINCOLN"
"13","BARNARDO SERVICES LIMITED","BARNARDO'S","GB","-","Corporate","ILFORD"
"14","BARNARDO SERVICES LIMITED","BARNARDO HOLDINGS LIMITED","GB","WO","Corporate","ILFORD"
"15","FIVE RIVERS CHILD CARE LIMITED","FIVE RIVERS IRELAND LIMITED","IE","99.94","Corporate","DUBLIN"
"16","FIVE RIVERS CHILD CARE LIMITED","MIDHURST CHILD CARE LIMITED","GB","0.06","Corporate","SALISBURY"
"17","THE HESLEY GROUP LIMITED","HESLEY CARE & EDUCATION LIMITED","GB","100.00","Corporate","DONCASTER"
"18","HEXAGON CARE SERVICES LIMITED","HCS GROUP LIMITED","GB","100.00","Corporate","PRESTON"
"19","COMPASS CHILDREN'S HOMES LIMITED","COMPASS COMMUNITY LTD","GB","100.00","Corporate","LEICESTER"
"20","HORIZON CARE AND EDUCATION GROUP LIMITED","SIMPLY UK HOLDINGS LTD","GB","100.00","Corporate","BELLSHILL"
"21","A WILDERNESS WAY LIMITED","A WILDERNESS WAY HOLDINGS LIMITED","GB","100.00","Corporate","PENRITH"
"22","A WILDERNESS WAY LIMITED","BUSINESS GROWTH FUND LIMITED","GB","-","Mutual and pension fund, nominee, trust, trustee","LONDON"
"23","HOMES 2 INSPIRE LIMITED","PROSPECTS GROUP 2011 LIMITED","GB","100.00","Corporate","OLDBURY"
"24","ESLAND NORTH LIMITED","THE ESLAND GROUP LIMITED","GB","WO","Corporate","BELPER"
"25","ACTIVE YOUNG PEOPLE LIMITED","ACTIVE MANCO LIMITED","GB","100.00","Corporate","LONDON"
"26","SENAD LIMITED","THE SENAD GROUP LIMITED","GB","100.00","Corporate","DERBY"
"27","NORTHERN LIFE CARE LIMITED","CROISETTE HOLDINGS LIMITED","GB","81.60","Corporate","SAINT HELIER"
"28","AURORA ASD LIMITED","AURORA CARE AND EDUCATION OPCO LIMITED","GB","100.00","Corporate","GLOUCESTER"
"29","AURORA ASD LIMITED","OCTOPUS CAPITAL LIMITED","GB","-","Private equity firm","LONDON"
"30","CAMBIAN AUTISM SERVICES LIMITED","CAMBIAN EDUCATION SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"31","CAMBIAN AUTISM SERVICES LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"32","SANDCASTLE CARE LTD","SANDCASTLE CARE HOLDINGS LIMITED","GB","100.00","Corporate","LEICESTER"
"33","ORBIS EDUCATION AND CARE LIMITED","ORBIS EDUCATION AND CARE BIDCO LIMITED","GB","100.00","Corporate","CARDIFF"
"34","BRIGHT FUTURES CARE LIMITED","PROJECT PT BIDCO LIMITED","GB","100.00","Corporate","LYMM"
"35","ASPIRATIONS CARE LIMITED","AUGUST EQUITY PARTNERS II A","GB","-","Mutual and pension fund, nominee, trust, trustee","LONDON"
"36","ASPIRATIONS CARE LIMITED","ELYSIAN CAPITAL II LP","GB","MO","Mutual and pension fund, nominee, trust, trustee","LONDON"
"37","ASPIRATIONS CARE LIMITED","MANAGEMENT OF ASPIRATIONS CARE LIMITED","-","-","Employees, managers, directors",""
"38","HILLCREST CHILDRENS SERVICES LIMITED","OUTCOMES FIRST GROUP LIMITED","GB","100.00","Corporate","BOLTON"
"39","PHOENIX LEARNING & CARE HOLDINGS LIMITED","ASHRIDGE CAPITAL (PHOENIX) LIMITED PARTNERSHIP","GB","64.77","Mutual and pension fund, nominee, trust, trustee","BERKHAMSTED"
"40","PHOENIX LEARNING & CARE HOLDINGS LIMITED","ASHRIDGE CAPITAL (PHOENIX II) LIMITED PARTNERSHIP","GB","6.56","Mutual and pension fund, nominee, trust, trustee","BERKHAMSTED"
"41","PHOENIX LEARNING & CARE HOLDINGS LIMITED","ASHRIDGE CAPITAL LLP","GB","-","Private equity firm","BERKHAMSTED"
"42","CAMBIAN WHINFELL SCHOOL LIMITED","CAMBIAN EDUCATION SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"43","CAMBIAN WHINFELL SCHOOL LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"44","YOUR CHAPTER HOLDINGS LIMITED","INSPIRE CAPITAL LIMITED","GB","15.51","Private equity firm","CHEADLE"
"45","PARTNERSHIPS IN CARE 1 LIMITED","PARTNERSHIPS IN CARE MANAGEMENT 2 LIMITED","GB","100.00","Corporate","LONDON"
"46","HCRG CARE LTD","TWENTY20 CAPITAL INVESTMENTS LIMITED","GB","100.00","Corporate","LONDON"
"47","YOUR CHAPTER LIMITED","YOUR CHAPTER HOLDINGS LIMITED","GB","100.00","Corporate","CHEADLE"
"48","PATHWAYS CARE GROUP LIMITED","SALUTEM LD BIDCO LIMITED","GB","100.00","Corporate","WINDSOR"
"49","PATHWAYS CARE GROUP LIMITED","SALUTEM LD TOPCO LIMITED","GB","-","Corporate","WINDSOR"
"50","REFLEXION CARE GROUP LIMITED","SABRINA BIDCO LIMITED","GB","100.00","Corporate","SHREWSBURY"
"51","LONGDON HALL SCHOOL LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"52","YOUNG FOUNDATIONS LIMITED","MRA UK INVESTMENTS LIMITED","GB","100.00","Financial company","DENBIGH"
"53","NEW FOREST CARE LIMITED","HARRIS SCOTT INVESTMENTS LIMITED","GB","8.62","Corporate","ETCHINGHAM"
"54","NEW FOREST CARE LIMITED","TRUSTEE OF AUSTIN JOE NICOL TRUST","n.a.","0.21","Mutual and pension fund, nominee, trust, trustee",""
"55","NEW FOREST CARE LIMITED","TRUSTEE OF ISAAC RICHARD NICOL TRUST","n.a.","0.21","Mutual and pension fund, nominee, trust, trustee",""
"56","NEW FOREST CARE LIMITED","TRUSTEE OF SOPHIE KAREN NICOL TRUST","n.a.","0.21","Mutual and pension fund, nominee, trust, trustee",""
"57","KEYS EDUCATIONAL SERVICES LIMITED","KEYS CARE LIMITED","GB","100.00","Corporate","BELFAST"
"58","OPTIONS AUTISM (4) LIMITED","OPTIONS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","BOLTON"
"59","PHOENIX CHILD CARE LIMITED","PHOENIX LEARNING & CARE HOLDINGS LIMITED","GB","WO","Corporate","TIVERTON"
"60","PARALLEL PARENTS LTD","CARE TODAY LIMITED","GB","WO","Corporate","HASLEMERE"
"61","UNDERLEY SCHOOLS LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"62","CAMBIAN ASPERGER SYNDROME SERVICES LIMITED","CAMBIAN EDUCATION SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"63","CAMBIAN ASPERGER SYNDROME SERVICES LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"64","BRYN MELYN CARE LIMITED","KEYS GROUP HOLDINGS LIMITED","GB",">75.00","Corporate","HALESOWEN"
"65","ACORN NORFOLK LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"66","KEDLESTON (WINGS EDUCATION) LIMITED","KEDLESTON WINGS HOLDCO LTD","GB","100.00","Corporate","UXBRIDGE"
"67","HILLCREST CHILDRENS SERVICES (2) LIMITED","OPTIONS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","BOLTON"
"68","RADICAL SERVICES LIMITED","CARE HOLDINGS LIMITED","GB","100.00","Corporate","LEEDS"
"69","KEYS GROUP PROGRESSIVE CARE & EDUCATION LIMITED","KEYS GROUP PCE (HOLDINGS) LIMITED","GB","100.00","Corporate","HALESOWEN"
"70","KEYS CARE LIMITED","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"71","MEADOWS CARE LIMITED","MEADOWS CARE HOLDCO LIMITED","GB","100.00","Corporate","ROCHDALE"
"72","SUNFIELD CHILDRENS HOMES LIMITED","RUSKIN MILL TRUST LIMITED","GB","100.00","Corporate","STROUD"
"73","KEYS CHILD CARE LIMITED","KEYS CHILD CARE (HOLDINGS) LIMITED","GB","WO","Corporate","HALESOWEN"
"74","KEYS EDUCATION LIMITED","KEYS EDUCATION & CARE LIMITED","GB","100.00","Corporate","BELFAST"
"75","UNITY RESIDENTIAL CARE SERVICES LIMITED","EDISON EDUCATION AND CARE LIMITED","GB","100.00","Corporate","STOKE-ON-TRENT"
"76","KEYS NHCC LIMITED","KEYS NHG LIMITED","GB","100.00","Corporate","HALESOWEN"
"77","PEBBLES CARE LIMITED","PEBBLES HOLDCO LIMITED","GB","100.00","Corporate","LEEDS"
"78","HOPSCOTCH SOLUTIONS LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"79","ROC NORTHWEST LIMITED","CARETECH COMMUNITY SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"80","ROC NORTHWEST LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"81","PHOENIX LEARNING AND CARE LIMITED","PHOENIX CHILD CARE LIMITED","GB","100.00","Corporate","TIVERTON"
"82","ASPRIS NEW EDUCATION SERVICES LIMITED","ASPRIS CHILDREN'S SERVICES LIMITED","GB","100.00","Corporate","LEICESTER"
"83","HALLIWELL HOMES LIMITED","HALLIWELL CARE HOLDING LIMITED","GB","100.00","Corporate","MANCHESTER"
"84","AURORA CARE AND EDUCATION OPCO LIMITED","AURORA CARE AND EDUCATION MIDCO LIMITED","GB","WO","Corporate","GLOUCESTER"
"85","AURORA CARE AND EDUCATION OPCO LIMITED","OCTOPUS CAPITAL LIMITED","GB","-","Private equity firm","LONDON"
"86","THE PLACE YOUNG PEOPLES COMPANY LIMITED","EDISON EDUCATION AND CARE LIMITED","GB","<0.50","Corporate","STOKE-ON-TRENT"
"87","CLEARWATER CARE (HACKNEY) LIMITED","CLEARWATER CARE (GROUP) LIMITED","GB","100.00","Corporate","WINDSOR"
"88","SPARK OF GENIUS NORTH EAST LLP","SPARK OF GENIUS (TRAINING) LTD.","GB","100.00","Corporate","PAISLEY"
"89","SPARK OF GENIUS NORTH EAST LLP","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"90","PLATFORM CHILDCARE LTD","FJRI LIMITED","GB","100.00","Corporate","BURTON-ON-TRENT"
"91","AMBERLEIGH CARE LIMITED","AMBERLEIGH CARE HOLDINGS LIMITED","GB","100.00","Corporate","WELSHPOOL"
"92","CASTLE HOMES CARE LIMITED","CASTLECARE HOLDINGS LIMITED","GB","100.00","Corporate","LEICESTER"
"93","GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED","GREENFIELDS CARE GROUP LTD","GB","100.00","Corporate","POTTERS BAR"
"94","GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"95","RUSHCLIFFE SPECIALIST SCHOOLS (MICKLEOVER) LIMITED","RUSHCLIFFE SPECIALIST SCHOOLS LIMITED","GB","100.00","Corporate","NOTTINGHAM"
"96","COURTYARD CARE LIMITED","SWANTON CARE & COMMUNITY LIMITED","GB","WO","Corporate","COVENTRY"
"97","PATHWAY CARE SOLUTIONS II LIMITED","PATHWAY CARE SOLUTIONS GROUP LIMITED","GB","100.00","Corporate","HALESOWEN"
"98","KNOSSINGTON GRANGE SCHOOL LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"99","OPTIONS AUTISM (1) LIMITED","OPTIONS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","BOLTON"
"100","KEYS BR LIMITED","KEYS CARE LIMITED","GB","100.00","Corporate","BELFAST"
"101","DOVE ADOLESCENT SERVICES LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"102","ROWDEN HOUSE SCHOOL LIMITED","TEME VALLEY INVESTMENTS LIMITED","GB","100.00","Financial company","DERBY"
"103","BRAMLEY CARE LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"104","STEPPING STONES CARE LIMITED","CORA CARE GROUP LIMITED","IE","100.00","Corporate","DUBLIN"
"105","BUDWOOD LIMITED","SANDUDE LIMITED","GB","100.00","Corporate","BROMSGROVE"
"106","RESTORATIVE SOCIAL CARE SERVICES LTD.","RESTORATIVE EDUCATION AND SOCIAL CARE SERVICES LTD","GB","WO","Corporate","HALIFAX"
"107","INTERACT CARE LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"108","INTERACT CARE LIMITED","CAMBIAN CHILDCARE LIMITED","GB","99.99","Corporate","POTTERS BAR"
"109","NORTH LAKES CHILDRENS SERVICES LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"110","TREEHOUSE EDUCARE LIMITED","SHC RAPKYNS HOLDCO LIMITED","GB","100.00","Corporate","SAINT HELIER"
"111","UNIQUE CARE HOMES SUPPORT LIMITED","ARTEMIS YOUNG PERSON'S CARE AND EDUCATION LIMITED","n.a.","100.00","Corporate",""
"112","HEADWAY ADOLESCENT RESOURCES LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"113","PARTNERS IN CARE LIMITED","CARE HOLDINGS LIMITED","GB","100.00","Corporate","LEEDS"
"114","THE FORGE (NUNEATON) LIMITED","FORGE CARE LIMITED (13835155)","n.a.","100.00","Corporate",""
"115","DELAM CARE LIMITED","CARETECH COMMUNITY SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"116","DELAM CARE LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"117","KEYS DIRECT CARE LIMITED","NEW CARE SOLUTIONS LIMITED","GB","100.00","Corporate","SOUTHEND ON SEA, ESSEX"
"118","SOUTH WEST CHILDCARE SERVICES LTD","KEYS GROUP LIMITED","GB","-","Corporate","HALESOWEN"
"119","SOUTH WEST CHILDCARE SERVICES LTD","UNION MIDCO LIMITED","GB","MO","Corporate","HALESOWEN"
"120","THE RYES COLLEGE LIMITED","KEYS ACCOMPLISH GROUP LIMITED","GB","100.00","Corporate","HALESOWEN"
"121","KEYS QTC LIMITED","KEYS CARE LIMITED","GB","100.00","Corporate","BELFAST"
"122","KEDLESTON (HIGH PEAK SCHOOL) LIMITED","KEDLESTON SCHOOLS LIMITED","GB","100.00","Corporate","UXBRIDGE"
"123","AREA CAMDEN LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"124","CAMBIAN SIGNPOST LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"125","CAMBIAN SIGNPOST LIMITED","CAMBIAN GROUP HOLDINGS LIMITED","GB","WO","Corporate","POTTERS BAR"
"126","PATHWAY CARE SOLUTIONS GROUP LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","100.00","Corporate","BOLTON"
"127","OPTIONS AUTISM (5) LIMITED","OPTIONS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","BOLTON"
"128","BAY VIEW CHILD CARE LIMITED","NUTRIUS UK BIDCO LIMITED","GB","100.00","Corporate","BROMSGROVE"
"129","NAMECO (NO.57) LIMITED","NOMINA PLC","GB","100.00","Corporate","LONDON"
"130","CASTLECARE CYMRU LIMITED","CASTLECARE HOLDINGS LIMITED","GB","100.00","Corporate","LEICESTER"
"131","OASIS ADOLESCENT SERVICES LIMITED","YOUR CHAPTER HOLDINGS LIMITED","GB","100.00","Corporate","CHEADLE"
"132","PROGRESS CARE AND EDUCATION LIMITED","ASPRIS CHILDREN'S SERVICES LIMITED","GB","100.00","Corporate","LEICESTER"
"133","PROGRESS CARE AND EDUCATION LIMITED","ACADIA HEALTHCARE COMPANY, INC.","US","-","Corporate","FRANKLIN"
"134","KEDLESTON (WOOD GROVE CHILDCARE) LIMITED","KEDLESTON SCHOOLS LIMITED","GB","100.00","Corporate","UXBRIDGE"
"135","WESSEX COLLEGE LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","WO","Corporate","BOLTON"
"136","3 DIMENSIONS CARE LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","100.00","Corporate","BOLTON"
"137","INSPIRATION CARE LIMITED","COMMUNITY HOMES OF INTENSIVE CARE AND EDUCATION LIMITED","GB","100.00","Corporate","BRACKNELL"
"138","INSPIRATION CARE LIMITED","CHOICE HOLDINGS LIMITED","GB","-","Corporate","BRACKNELL"
"139","CASTLE HOMES LIMITED","CASTLECARE HOLDINGS LIMITED","GB","100.00","Corporate","LEICESTER"
"140","KEYS ACTIVE 8 CARE LIMITED","KEYS CARE LIMITED","GB","WO","Corporate","BELFAST"
"141","KEYS STEPPING STONES LIMITED","KEYS CHILD CARE (HOLDINGS) LIMITED","GB","WO","Corporate","HALESOWEN"
"142","KEYS ACE LIMITED","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"143","SOUTHERN ADOLESCENT CARE SERVICES LTD","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"144","KEYS KIN LIMITED","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"145","QUANTUM CARE (UK) LIMITED","CASTLECARE GROUP LIMITED","GB","100.00","Corporate","LEICESTER"
"146","KEYS SPECIALIST RESIDENTIAL CHILDREN'S SERVICES LTD","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"147","DAISYBROOK LIMITED","CARETECH COMMUNITY SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"148","DAISYBROOK LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"149","PATHWAY CARE SOLUTIONS LIMITED","PATHWAY CARE SOLUTIONS GROUP LIMITED","GB","100.00","Corporate","HALESOWEN"
"150","PATHWAY CARE SOLUTIONS LIMITED","ACORN CARE AND EDUCATION LIMITED","GB","-","Corporate","BOLTON"
"151","CONSIDERATE CARE LIMITED","KEYS GROUP HOLDINGS LIMITED","GB","100.00","Corporate","HALESOWEN"
"152","KEYS CWC LIMITED","KEYS CWCH LIMITED","GB","100.00","Corporate","HALESOWEN"
"153","CRUCKTON HALL LIMITED","KISIMUL SCHOOL HOLDINGS LIMITED","GB","WO","Corporate","LINCOLN"
"154","HELPFUL INVESTMENTS LIMITED","GLENFIT PROPERTIES LIMITED","GB","100.00","Corporate","ABERYSTWYTH"
"155","HESLEY SERVICES LIMITED","HESLEY HALL LIMITED","GB","100.00","Corporate","DONCASTER"
"156","FAMILY CARE ASSOCIATES LIMITED","FAMILY CARE ASSOCIATES (HOLDINGS) LIMITED","GB","77.52","Corporate","CHORLEY"
"157","FAMILY CARE ASSOCIATES LIMITED","FAMILY CARE (GROUP) 2018 LTD","GB","11.63","Corporate","CHORLEY"
"158","SOCIAL CARE SERVICES LIMITED","SOCIAL CARE SERVICES (CLAYTON) LIMITED","GB","100.00","Corporate","STOCKPORT"
"159","CARE AFLOAT LTD.","CARE AFLOAT HOLDINGS LIMITED","GB","100.00","Corporate","SKELMERSDALE"
"160","LIONCARE LIMITED","BAYWAY LIMITED","GB","80.00","Corporate","HOVE"
"161","BRIDGE COMMUNITIES LIMITED","SHARMA-SCOTT UK LIMITED","GB","50.00","Corporate","BRACKNELL"
"162","ANDERIDA ADOLESCENT CARE LIMITED","ANDERIDA HOLDINGS LIMITED","GB","75.00","Corporate","PEVENSEY"
"163","CARE MANAGEMENT GROUP LIMITED","GALAXY GROUP BIDCO LIMITED","GB","100.00","Corporate","BATH"
"164","CARE MANAGEMENT GROUP LIMITED","AMP CAPITAL INVESTORS (EUROPEAN INFRASTR","LU","-","Corporate",""
"165","EDUCARE ADOLESCENT SERVICES LIMITED","HORIZON 2912 LIMITED","GB","100.00","Corporate","CANNOCK"
"166","ACORN HOMES (UK) LIMITED","ACORN HOMES (GROUP) LIMITED","GB","96.00","Corporate","RAMSGATE"
"167","NEW HORIZONS (STOCKPORT) LTD","NEW HORIZONS GROUP LIMITED","GB","100.00","Corporate","STOCKPORT"
"168","ESSANDORE LIMITED","ESSANDORE CARE LIMITED","GB","100.00","Corporate","SOUTHPORT"
"169","THE DRIVE CARE HOMES LIMITED","CYTRAD GROUP LTD","GB","WO","Corporate","SIDCUP"
"170","ATLAS HEALTHCARE LIMITED","HUNTERCOMBE (NO 12) LIMITED","GB","100.00","Corporate","WILMSLOW"
"171","CARE TODAY (CHILDRENS SERVICES) LTD","CARE TODAY/PARALLEL PARENTS LTD","GB","100.00","Corporate","STOCKPORT"
"172","DALEPEAK LIMITED","FAMILY CARE ASSOCIATES (HOLDINGS) LIMITED","GB","100.00","Corporate","CHORLEY"
"173","MOTIVATIONS ACTIVITY PROJECTS LTD.","AMJAD & SONS PROPERTIES LIMITED","GB","45.45","Corporate","BURTON-ON-TRENT"
"174","PROGRESSIVE CARE LIMITED","PROGRESSIVE CARE UK LIMITED","GB","100.00","Corporate","SHEFFIELD"
"175","PLATINUM SERVICES FOR CHILDREN (RESIDENTIAL CARE) LIMITED","B A BANDICOOT LTD","GB","65.23","Corporate","NEWCASTLE"
"176","STEP-A-SIDE COMPANY LIMITED","FOREST STEPS LIMITED","GB","100.00","Corporate","COLEFORD"
"177","WITHERSLACK WILTSHIRE LIMITED","WITHERSLACK GROUP LIMITED","GB","100.00","Corporate","CARNFORTH"
"178","ARNFIELD CARE LIMITED","ARNFIELD HOLDINGS LIMITED","GB","100.00","Corporate","GLOSSOP"
"179","MY CHOICE CHILDREN'S HOMES LIMITED","MY CHOICE GROUP LIMITED","GB","100.00","Corporate","HAYWARDS HEATH"
"180","REAMCARE LIMITED","REDROOFS HOLDINGS LIMITED","GB","100.00","Corporate","THAMES DITTON"
"181","COMPASS CHILDREN'S HOMES KENT LIMITED","COMPASS COMMUNITY LTD","GB","100.00","Corporate","LEICESTER"
"182","HARTMORE EDUCATION LIMITED","HARTMORE GENESIS LIMITED","GB","100.00","Corporate","GLOUCESTER"
"183","PROGRESS CHILDREN'S SERVICES LIMITED","PROGRESS HOLDINGS CS LIMITED","GB","100.00","Corporate","WOLVERHAMPTON"
"184","HORIZON CARE LIMITED","HORIZON CARE AND EDUCATION GROUP LIMITED","GB",">50.00","Corporate","CANNOCK"
"185","ROC FAMILY TIME LIMITED","ROC GROUP LIMITED","GB","100.00","Corporate","NEWTON AYCLIFFE"
"186","AFTER CARE (N W) LIMITED","AFTER CARE (N W) HOLDINGS LIMITED","GB","100.00","Corporate","SOUTHPORT"
"187","LITTLE ACORNS LONDON BEACH FARM LIMITED","GROSVENOR HOLDINGS LTD","n.a.","100.00","Corporate",""
"188","MULBERRY HOUSE CARE HOMES LIMITED","AKPM HOLDINGS LIMITED","GB","100.00","Corporate","STAFFORD"
"189","BROADLANDS HALL LIMITED","BARNARDISTON HALL PREPARATORY SCHOOL LIMITED","GB","100.00","Corporate","BURY ST EDMUNDS"
