"","Company.name","SH...Name","SH...Country.ISO.code","SH...Direct..","SH...Type","SH...City"
"190","THE SENAD GROUP LIMITED","SENAD INVESTMENTS LIMITED","GB","100.00","Financial company","DERBY"
"191","CARE FOCUS LIMITED","ZORBA HOLDINGS LIMITED","GB","100.00","Corporate","LONDON"
"192","ESLAND SOUTH LIMITED","THE ESLAND GROUP LIMITED","GB","-","Corporate","BELPER"
"193","ESLAND SOUTH LIMITED","ESLAND NORTH LIMITED","GB","MO","Corporate","BELPER"
"194","ESLAND SOUTH LIMITED","RUSHCLIFFE CARE LIMITED","GB","-","Corporate","NOTTINGHAM"
"195","BEAUFORT CARE GROUP LIMITED","BEAUFORT EDUCATION & CARE LTD","n.a.","100.00","Corporate",""
"196","THE BEECHES UK LIMITED","SILVER BIRCH CARE (HOLDINGS) LIMITED","GB","100.00","Corporate","LONDON"
"197","AMICUS RESIDENTIAL CARE LIMITED","AMICUS ASPIRING CARE LIMITED","GB","100.00","Corporate","BARNSTAPLE"
"198","ARCHWAYS CARE LTD","BOCA HOLDINGS LIMITED","GB","100.00","Corporate","KENILWORTH"
"199","THUNDERBOLT MOBILE LIMITED","CARE AFLOAT HOLDINGS LIMITED","GB","-","Corporate","SKELMERSDALE"
"200","THUNDERBOLT MOBILE LIMITED","CARE AFLOAT LTD.","GB","WO","Corporate","SKELMERSDALE"
"201","BRANAS ISAF (HOLDINGS) LIMITED","CARETECH COMMUNITY SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"202","BRANAS ISAF (HOLDINGS) LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"203","SES AVOCET LIMITED","SPECIALIST EDUCATION SERVICES (TOPCO) LIMITED","GB","100.00","Corporate","NORWICH"
"204","ROSEDALE CHILDREN'S SERVICES LIMITED","CARETECH COMMUNITY SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"205","ROSEDALE CHILDREN'S SERVICES LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"206","TIMEOUT CHILDRENS HOMES LIMITED","TIMEOUT PROPERTY LIMITED","GB","80.00","Corporate","SOWERBY BRIDGE"
"207","NEW FOUNDATIONS CARE HOMES LIMITED","FOSTERS PROPERTY SERVICES LIMITED","GB","69.00","Corporate","LIVERPOOL"
"208","NEW FOUNDATIONS CARE HOMES LIMITED","DCKT CONSULTANCY LIMITED","GB","31.00","Corporate","LIVERPOOL"
"209","QUALITY CARE HOMES (UK) LIMITED","ONEFFL LIMITED","GB","100.00","Corporate","SLOUGH"
"210","LIVING LIFE (UK) LIMITED","SILVER BIRCH CARE LIMITED","GB","100.00","Corporate","LONDON"
"211","PARK BLUE HOMES LIMITED","PARK BLUE GROUP LTD","GB","100.00","Corporate","HARROGATE"
"212","ORACLE CARE LIMITED","ORACLE CARE AND EDUCATION HOLDINGS LIMITED","GB","WO","Corporate","BELPER"
"213","INROADS (ESSEX) LTD","SWANTON CARE & COMMUNITY LIMITED","GB","100.00","Corporate","COVENTRY"
"214","CRYSTAL CARE SOLUTIONS LIMITED","CRYSTAL MANAGEMENT HOLDINGS LIMITED","GB","100.00","Corporate","NANTWICH"
"215","C F SOCIAL WORK LIMITED","BCF EQUITY PARTNERS LIMITED","GB","100.00","Corporate","STAMFORD"
"216","POTTON HOMES LTD","COMPASS COMMUNITY LTD","GB","100.00","Corporate","LEICESTER"
"217","FAMILY CARE EDUCATION LIMITED","FCA (HOLDINGS) LIMITED","GB","88.37","Corporate","LANCASHIRE"
"218","FAMILY CARE EDUCATION LIMITED","FAMILY CARE (GROUP) 2018 LTD","GB","11.63","Corporate","CHORLEY"
"219","COVE CARE RESIDENTIAL LIMITED","COVE CARE HOLDINGS LIMITED","GB","100.00","Corporate","WOLVERHAMPTON"
"220","KEY CHANGE CHILDREN'S SERVICE LIMITED","REFLEXION CARE GROUP LIMITED","GB","100.00","Corporate","SHREWSBURY"
"221","LIBRE LIVING LIMITED","LIBRE LIVING HOLDINGS LIMITED","GB","100.00","Corporate","WEYMOUTH"
"222","SURECARE RESIDENTIAL LTD","WB HOLDINGS LIMITED","n.a.","82.78","Corporate",""
"223","SEASIDE CARE HOMES LIMITED","THL INVESTMENTS LIMITED","GB","100.00","Financial company","SALE"
"224","SEASIDE CARE HOMES LIMITED","TRISTONE HEALTHCARE LIMITED","GB","-","Corporate","SALE"
"225","FULL CIRCLE CARE LTD","APPOINTMENTS PERSONNEL HOLDINGS LIMITED","GB","-","Corporate","STOKE-ON-TRENT"
"226","FULL CIRCLE CARE LTD","APPOINTMENTS PERSONNEL LIMITED","GB","WO","Corporate","STOKE-ON-TRENT"
"227","TULIP CARE TWO LIMITED","TULIP CARE ONE LIMITED","GB","100.00","Corporate","WOODFORD GREEN"
"228","CHANNELS AND CHOICES LIMITED","CHANNELS AND CHOICES HOLDINGS LIMITED","GB","100.00","Corporate","BRIGHTON"
"229","THE SERENDIPITY CENTRE LIMITED","SERENVEST LIMITED","GB","54.75","Corporate","SOUTHAMPTON"
"230","THE SERENDIPITY CENTRE LIMITED","SERENHOLD LIMITED","GB","6.25","Corporate","SOUTHAMPTON"
"231","CF SUPPORT SERVICES LIMITED","CAMARINAL HOLDINGS LIMITED","GB","100.00","Corporate","MILTON KEYNES"
"232","PRESTIGE ADOLESCENT CARE AND EDUCATION LIMITED","PACE RESIDENTIAL GROUP LIMITED","GB","100.00","Corporate","NEWCASTLE"
"233","INSPIRE CHILDRENS SERVICES LIMITED","INSPIRE CS GROUP LIMITED","GB","100.00","Corporate","ST HELENS"
"234","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED","COMPASS COMMUNITY LTD","GB","WO","Corporate","LEICESTER"
"235","LYNSTEAD CHILDRENS SERVICES LTD","HORIZON CARE AND EDUCATION GROUP LIMITED","GB","WO","Corporate","CANNOCK"
"236","HEARTWOOD RESIDENTIAL SERVICES LTD","HEARTWOOD CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"237","INSPIRE CARE (UK) LIMITED","JANOREAM GROUP LTD","GB","100.00","Corporate","NOTTINGHAM"
"238","NESTLINGS CARE LTD","EYRIE CAPITAL LIMITED","GB","100.00","Corporate","LEIGH"
"239","SERENITY SPECIALIST CARE LIMITED","MADE SOCIAL CARE LIMITED","GB","90.00","Corporate","SOLIHULL"
"240","ADECYN CHILDREN'S HOME LTD","ADECYN'S GROUP LIMITED","GB","100.00","Corporate","WOLVERHAMPTON"
"241","CHERISH CHILDRENS CARE LTD","CHERISH UK LIMITED","GB","100.00","Corporate","BLACKPOOL"
"242","A SIGNIFICANT OTHER LIMITED","PEBBLES CARE LIMITED","GB","100.00","Corporate","LEEDS"
"243","ASPIREONE CARE LIMITED","APPOINTMENTS PERSONNEL HOLDINGS LIMITED","GB","-","Corporate","STOKE-ON-TRENT"
"244","ASPIREONE CARE LIMITED","APPOINTMENTS PERSONNEL LIMITED","GB","WO","Corporate","STOKE-ON-TRENT"
"245","SWAAY CHILD AND ADOLESCENT SERVICES LIMITED","SWAAY HOLDINGS LIMITED","GB","100.00","Corporate","SUTTON"
"246","JOHN-EDWARDS CARE HOMES LTD","MYLIFE SUPPORTED LIVING LIMITED","GB","WO","Corporate","LONDON"
"247","UNITED CHILDREN'S SERVICES LIMITED","UNITED HEALTH GROUP 2 LIMITED","GB","100.00","Corporate","LINCOLN"
"248","PHYSIS QUANTUM LIMITED","PHYSIS GROUP (GB) LIMITED","GB","100.00","Corporate","STOKE-ON-TRENT"
"249","LYTHAM CARE LIMITED","VEC GROUP LIMITED","GB","WO","Corporate","LIVERPOOL"
"250","ASTON CHILDREN'S CARE LTD","ASTON CHILDREN'S CARE HOLDINGS LIMITED","GB","100.00","Corporate","LONDON"
"251","FOOTSTEPS A PATH TO CHANGE 08 LIMITED","FOOTSTEPS NEW BEGINNINGS LIMITED","GB","66.67","Corporate","CHEADLE"
"252","SES TURNSTONE LIMITED","SPECIALIST EDUCATION SERVICES (TOPCO) LIMITED","GB","100.00","Corporate","NORWICH"
"253","FLYING SPUR LIMITED","FLYING SPUR GROUP LIMITED","GB","100.00","Corporate","GREAT YARMOUTH"
"254","HEARTWOOD RSW LTD","HEARTWOOD CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"255","NURTURE CHILDCARE SERVICES LTD","FIRST BLUE HEALTHCARE & EDUCATION GROUP LIMITED","GB","100.00","Corporate","STAFFORD"
"256","SPORTFIT SUPPORT SERVICES LIMITED","TRISTONE SSS HOLDINGS LIMITED","GB","100.00","Corporate","SALE"
"257","ACORN CHILDREN'S HOME (BURTON) LTD","KIANIS LTD","GB","66.67","Corporate","BURTON-ON-TRENT"
"258","CONTINUUM SUPPORT - CARE SERVICES LTD","JFD HOLDINGS LTD","GB","39.80","Corporate","LIVERPOOL"
"259","CONTINUUM SUPPORT - CARE SERVICES LTD","M DOWNEY HOLDINGS LIMITED","GB","39.80","Corporate","CHESTER"
"260","CONTINUUM SUPPORT - CARE SERVICES LTD","LOAN  HOLDINGS LTD","GB","19.41","Corporate","LIVERPOOL"
"261","HMO NE LTD","FOREVERCARE GROUP LIMITED","GB","100.00","Corporate","SUNDERLAND"
"262","CHARTWELL CARE SERVICES LIMITED","CHARTWELL CARE HOLDINGS LIMITED","GB","88.00","Corporate","LEICESTER"
"263","CHARTWELL CARE SERVICES LIMITED","CHARTWELL ASSET MANAGEMENT LIMITED","GB","12.00","Financial company","LEICESTER"
"264","IMPACT CHILDCARE AND EDUCATION LTD","ID CYDONIA LTD","GB","100.00","Corporate","NEWCASTLE UPON TYNE"
"265","PROACTIVE CARE (MANCHESTER) LTD","AOL HOLDINGS LTD","GB","75.00","Corporate","STOCKPORT"
"266","HENNESSY LIVING GROUP LIMITED","NOMINEE OF JAKE JONES","n.a.","3.00","Mutual and pension fund, nominee, trust, trustee",""
"267","HENNESSY LIVING GROUP LIMITED","NOMINEE OF RYAN JONES","n.a.","3.00","Mutual and pension fund, nominee, trust, trustee",""
"268","HENNESSY LIVING GROUP LIMITED","NOMINEE OF FEARN JONES","n.a.","1.00","Mutual and pension fund, nominee, trust, trustee",""
"269","ABSOLUTE CHILDRENS SERVICES LTD","MKDS HOLDINGS LTD","GB","100.00","Corporate","LEEK"
"270","FOOTSTEPS TO FUTURES LIMITED","A.E GEE RENTALS LIMITED","GB","27.78","Corporate","NOTTINGHAM"
"271","ACORN RESIDENTIAL CARE LTD","ADECYN'S GROUP LIMITED","GB","99.00","Corporate","WOLVERHAMPTON"
"272","ACORN RESIDENTIAL CARE LTD","SYED ALI AHMED SHAH HOSPITAL","n.a.","1.00","Corporate",""
"273","POSITIVE INDIVIDUAL PROACTIVE SUPPORT LIMITED","TEES ESK & WEAR VALLEYS N H S FOUNDATION TRUST","GB","100.00","Foundation, research Institute","HARTLEPOOL"
"274","RESOLUTE CARE LTD","RESOLUTE CARE HOLDINGS LTD","GB","100.00","Corporate","NOTTINGHAM"
"275","HORIZON RESIDENTIAL HOMES LIMITED","PLAYSAP LIMITED","GB","75.00","Corporate","ALTRINCHAM"
"276","SOLENT CHILD CARE LIMITED","4T INVESTMENTS LIMITED","GB","5.00","Financial company","FARNHAM"
"277","SOLENT CHILD CARE LIMITED","GD GARDENS AND PROPERTY LIMITED","GB","5.00","Corporate","FARNHAM"
"278","JUVENTAS SERVICES LIMITED","TAX PLANNING MATTERS LIMITED","n.a.","0.11","Corporate",""
"279","JUVENTAS SERVICES LIMITED","CLRD LTD","GB","NG","Corporate","SALE"
"280","BAY TREE HOUSE (GRAVESEND) LIMITED","THE LEWIS GROUP LTD","GB","100.00","Corporate","GRAVESEND"
"281","NORTHRIDGE CARE GROUP LTD","NORTHRIDGE CARE HOLDINGS LTD","GB","50.50","Corporate","PRESTON"
"282","NORTHRIDGE CARE GROUP LTD","JONSON MILLER CAPITAL LIMITED","GB","44.50","Mutual and pension fund, nominee, trust, trustee","PRESTON"
"283","MY3 LIMITED","JFD HOLDINGS LTD","GB","40.00","Corporate","LIVERPOOL"
"284","MY3 LIMITED","LOAN  HOLDINGS LTD","GB","40.00","Corporate","LIVERPOOL"
"285","STEPPING STONES CHILDRENS HOMES LIMITED","STEPPING STONES HOMES HOLDINGS LTD","GB","46.30","Corporate","OLDHAM"
"286","HAVEN CARE GROUP LIMITED","ABBASI INVESTMENTS GROUP LIMITED","GB","50.00","Financial company","BURTON-ON-TRENT"
"287","HAVEN CARE GROUP LIMITED","KIANIS LTD","GB","50.00","Corporate","BURTON-ON-TRENT"
"288","HOLLY LODGE HOME LTD","HAVEN CARE GROUP LIMITED","GB","100.00","Corporate","BURTON-ON-TRENT"
"289","NEW FUTURES (CHILDREN) SERVICES LTD","497 SZ LTD","GB","33.33","Financial company","BIRMINGHAM"
"290","NEW FUTURES (CHILDREN) SERVICES LTD","V4 HNS LTD","GB","33.33","Corporate","BIRMINGHAM"
"291","LITTLE BELSTEADS CARE HOME LIMITED","LITTLE BELSTEADS HOLDINGS LIMITED","GB","100.00","Corporate","NORTHAMPTON"
"292","KELWEL CARE LIMITED","KELWEL HOLDINGS LTD","GB","100.00","Corporate","BRENTWOOD"
"293","FLOURISH (GLOUCESTERSHIRE) LIMITED","FLOURISH CARE HOLDINGS LIMITED","GB","100.00","Corporate","STONEHOUSE"
"294","ASHWOOD CHILDRENS CARE HOME LTD","MIRUS HEALTHCARE LIMITED","GB","50.00","Corporate","BURTON-ON-TRENT"
"295","ASHWOOD CHILDRENS CARE HOME LTD","KZR LTD","GB","25.00","Corporate","BURTON-ON-TRENT"
"296","ASHWOOD CHILDRENS CARE HOME LTD","SAAZLTD","n.a.","25.00","Corporate",""
"297","THE GOOD SUPPORT GROUP LIMITED","MAYOR & BURGESSES OF THE LONDON BOROUGH OF NEWHAM","n.a.","100.00","Corporate",""
"298","SOLACE FOR CHILDREN LIMITED","CLEARVOICE HOLDINGS LIMITED","GB","96.12","Corporate","PERSHORE"
"299","EVOKE CARE GROUP LIMITED","ZULFIQUAR AHMED LIMITED","GB","8.68","Corporate","HIGH WYCOMBE"
"300","CASCADE (BANKS HOUSE) LIMITED","B AND G (GROUP) LIMITED","GB","90.00","Corporate","HULL"
"301","HAPPY CHILDREN HOME LIMITED","HAPPY GROUP (UK) LIMITED","GB","50.00","Corporate","LEICESTER"
"302","HEATHCOTES CS LIMITED","ENVIVO ROBIN BIDCO LIMITED","GB","WO","Corporate","CHESTERFIELD"
"303","CHANGING LIVES CARE GROUP LTD","CLCG HOLDINGS LTD","GB","100.00","Corporate","LONDON"
"304","AUTONOMY PLUS LIMITED","AUTONOMY CARE GROUP LTD","GB","100.00","Corporate","MELKSHAM"
"305","IVIE LODGE LIMITED","HOLLAND & BENSON LIMITED","GB","100.00","Corporate","MANCHESTER"
"306","WOODFORD CHILDREN'S HOME LIMITED","WOODFORD EOT LIMITED","GB","100.00","Corporate","COULSDON"
"307","HARMONY CHILDCARE RESIDENTIAL HOMES LTD","AHSP HOLDINGS LIMITED","GB","50.00","Corporate","BIRMINGHAM"
"308","FIRST BLUE HEALTHCARE LIMITED","FIRST BLUE HEALTHCARE & EDUCATION GROUP LIMITED","GB","100.00","Corporate","STAFFORD"
"309","VCARE-24 LIMITED","VMDM PROPERTIES LIMITED","GB","100.00","Corporate","YORK"
"310","SMOOTH STONE CARE AND EDUCATION LIMITED","EDLESTON EQUESTRIAN ACADEMY LIMITED","GB","16.66","Corporate","NANTWICH"
"311","MY LIFE CHOICE LTD","OPTIMO (SL HOLDCO) LIMITED","GB","100.00","Corporate","BARNSLEY"
"312","HEARTWOOD RSC LTD","HEARTWOOD CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"313","PROTEA CARE LIMITED","DELO PROPERTY MANAGEMENT LIMITED","GB","20.00","Corporate","WEYBRIDGE"
"314","NISA CARE HOME LIMITED","ZEB REAL ESTATE LTD","GB","30.00","Corporate","BIRMINGHAM"
"315","LAKESIDE@OURPLACE LIMITED","OUR PLACE (2008) LIMITED","GB","100.00","Corporate","WORCESTER"
"316","HAND IN HAND CHILDCARE LTD","ACEDAY HOLDINGS LTD","GB","50.00","Corporate","BIRMINGHAM"
"317","SOLACE CARE PARTNERS LTD","MALAIKA INVESTMENTS (UK) LIMITED","GB","40.00","Financial company","ILFORD"
"318","SOLACE CARE PARTNERS LTD","ZAAKAA LTD","GB","40.00","Corporate","LUTON"
"319","SOLACE CARE PARTNERS LTD","ZAV GROUP LTD","GB","20.00","Corporate","ILFORD"
"320","WILLOWS 21 LTD","CORNERSTONE PARTNERSHIP SSAS","n.a.","5.00","Corporate",""
"321","EMPOWER RESIDENTIALS LIMITED","EMPOWER FAMILY GROUP LIMITED","GB","100.00","Corporate","TAUNTON"
"322","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED","GARDENIA CARE SERVICES LTD","GB","10.00","Corporate","BURTON-ON-TRENT"
"323","ABUNDANTIA CARE LIMITED","TKDS DEVELOPMENT CONSULTANCY LTD","GB","40.00","Corporate","PRESCOT"
"324","ABUNDANTIA CARE LIMITED","ROTHWELL CONSULTANCY LTD","GB","30.00","Corporate","DONCASTER"
"325","SOUTH WEST COMPLEX CARE SERVICES LTD","YOUR WAY LIMITED","GB","66.67","Corporate","GUNNISLAKE"
"326","SOUTH WEST COMPLEX CARE SERVICES LTD","MIMI-WOWO LTD","GB","33.33","Corporate","LONDON"
"327","PURE CARE HOMES LTD","ARDERN HOLDINGS LTD","GB","70.00","Corporate","MANCHESTER"
"328","PURE CARE HOMES LTD","ESMOND HOLDINGS LTD","GB","30.00","Corporate","BOLTON"
"329","SWAN CHILDREN'S HOMES LTD","ASPENDALE INVESTMENTS LTD","GB","100.00","Corporate","NORTHWOOD"
"330","EDUCARE SUPPORT LIMITED","APPLIED EDUCATIONAL SOLUTIONS LIMITED","GB","WO","Corporate","ILFORD"
"331","HEARTWOOD RSL LTD","HEARTWOOD CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"332","CARE 4 EVERY CHILD LIMITED","TOTAL CARE 4 CHILDREN LIMITED","GB","100.00","Corporate","HYDE"
"333","HALLIWELL HOMES (MIDLANDS DIVISION) LIMITED","HALLIWELL CARE HOLDING LIMITED","GB","-","Corporate","MANCHESTER"
"334","YOUNG BIRCH LIMITED","SHANTHI LIMITED","GB","100.00","Corporate","COVENTRY"
"335","ONEXTRA CARE LTD","AOL HOLDINGS LTD","GB","60.00","Corporate","STOCKPORT"
"336","WOODFORD CHILDREN'S SERVICES LIMITED","WOODFORD CHILDREN'S HOME LIMITED","GB","100.00","Corporate","COULSDON"
"337","KATTZ (YH) LTD","KATTZ GROUP LIMITED","GB","100.00","Corporate","LETCHWORTH"
"338","ATTIVO CARE LIMITED","FALCASA LTD","GB","6.25","Corporate","LIVERPOOL"
"339","ATTIVO CARE LIMITED","KOAMITE LIMITED","GB","6.25","Corporate","LIVERPOOL"
"340","PRIME CALIBRE CARE GROUP LTD","SAFE AS HOUSES INVESTMENT PLC","GB","50.00","Financial company","STIRLING"
"341","GSM ARDENT LIMITED","GSM ARDENT HOLDINGS LIMITED","GB","100.00","Corporate","LIVERPOOL"
"342","PARAMOUNT CHILDREN'S SERVICES LTD","PARAMOUNT HOLDING GROUP LIMITED","GB","100.00","Corporate","ALTRINCHAM"
"343","CHAMPION CHILDREN (NW LONDON) LIMITED","CHAMPION CHILDREN LIMITED","GB","100.00","Corporate","LONDON"
"344","TREETOPS CHILDREN'S HOMES LIMITED","EMBASSY CARE SOLUTIONS LIMITED","GB","50.00","Corporate","COVENTRY"
"345","TREETOPS CHILDREN'S HOMES LIMITED","WUSHE INVESTMENTS LTD","GB","50.00","Financial company","COVENTRY"
"346","WITHIN REACH SERVICES LIMITED","WITHIN REACH (SOUTH WEST) LIMITED","GB","100.00","Corporate","CHELTENHAM"
"347","EXCEL RESIDENTIAL CARE LIMITED","EXCEL ESCORT SOLUTIONS LTD","GB","50.00","Corporate","STOKE-ON-TRENT"
"348","SOLACE CARE 7KINGS LTD","SOLACE CARE GROUP LTD","GB","98.00","Corporate","ILFORD"
"349","CHERRY CARE  CHILDREN'S HOME LTD","KVITNEVA LTD","GB","50.00","Corporate","LONDON"
"350","CHERRY CARE  CHILDREN'S HOME LTD","SKYBRO ESTATES LTD","GB","50.00","Corporate","LONDON"
"351","CONNECT CARE SOLUTIONS LIMITED","CONNECT CARE HOLDINGS LIMITED","GB","100.00","Corporate","THORNTON-CLEVELEYS"
"352","MJ RESIDENTIAL SERVICES LIMITED","MJSS GROUP LIMITED","GB","100.00","Corporate","TAUNTON"
"353","CHAMPION CHILDREN (FIG TREE) LIMITED","SOUTH EAST CONSORTIUM LIMITED","GB","100.00","Corporate","LONDON"
"354","INDIGO CHILDRENS CARE HOMES LTD","WS MANAGEMENT SERVICES LTD","GB","66.67","Corporate","WESTCLIFF-ON-SEA"
"355","INDIGO CHILDRENS CARE HOMES LTD","CWA PROPERTY MANAGEMENT LTD","GB","33.33","Corporate","MONMOUTH"
"356","WILLOW TREE CHILDREN'S SERVICES LTD","WTG HOLDINGS LIMITED","GB","100.00","Corporate","LONDON"
"357","STEPPING STONES CARE (MIDLANDS) LIMITED","NGV HOLDINGS LIMITED","GB","100.00","Corporate","BIRMINGHAM"
"358","PARAMOUNT CHILDREN CARE LTD","PARA GROUP HOLDINGS LIMITED","GB","100.00","Corporate","WILLENHALL"
"359","EMERGE CARE AND THERAPEUTIC SOLUTIONS LIMITED","EXCEL ESCORT SOLUTIONS LTD","GB","51.00","Corporate","STOKE-ON-TRENT"
"360","TRAUMA IN MIND LTD","FINTECX GROUP LIMITED","GB","10.00","Corporate","LEICESTER"
"361","KIDS INC RESIDENTIAL SERVICES LTD","THRIVE CHILDCARE SERVICES LTD","GB","100.00","Corporate","CHEADLE"
"362","VIRTUE THERAPEUTIC CARE & EDUCATION (EAST SUSSEX) LIMITED","SOUTH EAST CONSORTIUM LIMITED","GB","100.00","Corporate","LONDON"
"363","BLOSSOM CHILDREN'S HOMES LIMITED","BLOSSOM CHILDREN'S HOMES (HOLDINGS) LIMITED","GB","100.00","Corporate","LONDON"
"364","SOLACE CARE REDBRIDGE LTD","SOLACE CARE GROUP LTD","GB","98.00","Corporate","ILFORD"
"365","TJY CARE LTD","L-MAX CONSULTANCY LTD","GB","33.33","Corporate","BIRMINGHAM"
"366","TJY CARE LTD","SERENITY CONSULTANCY (UK) LTD","GB","33.33","Corporate","BIRMINGHAM"
"367","TJY CARE LTD","SYJ LTD","GB","33.33","Corporate","COVENTRY"
"368","SUPERCARE HOLDINGS LTD","SUPER CORPORATION LTD","n.a.","11.01","Corporate",""
"369","BAY TREE HOUSE (HIGHAM) LTD","THE LEWIS GROUP LTD","GB","100.00","Corporate","GRAVESEND"
"370","PRIME NURTURE SERVICES LTD","DEMETERCARE GROUP LIMITED","GB","100.00","Corporate","NOTTINGHAM"
"371","ROXWELL CARE GIDEA PARK LIMITED","ROXWELL CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"372","BRIGHT LIFE LIVING (STIRCHLEY) LTD","BRIGHT LIFE LIVING LTD","GB","100.00","Corporate","BIRMINGHAM"
"373","NURTURE CARE GROUP LTD","NURTURE CARE GROUP HOLDINGS LTD","GB","100.00","Corporate","WOLVERHAMPTON"
"374","SOLACE CARE CLAYHALL LTD","SOLACE CARE GROUP LTD","GB","98.00","Corporate","ILFORD"
"375","CARING FEATHERS LTD","APEX CARE GROUP LIMITED","GB","40.00","Corporate","LUTON"
"376","CARING FEATHERS LTD","CARING FEATHERS BURTON LIMITED","GB","40.00","Corporate","LUTON"
"377","3S ADOLESCENT CARE LIMITED","INSPIRE CAPITAL LIMITED","n.a.","5.00","Corporate",""
"378","OLIVE TREE RESIDENTIAL CARE LIMITED","W.J. SKIPPER (HAULAGE) LIMITED","GB","WO","Corporate","BURTON-ON-TRENT"
"379","TUTELAGE CARE BARKING LTD","TUTELAGE CARE GROUP LIMITED","GB","-","Corporate","ILFORD"
"380","TUTELAGE CARE REDBRIDGE LTD","TUTELAGE CARE GROUP LIMITED","GB","-","Corporate","ILFORD"
"381","MY HOUSE CALOW LTD","HASSOCKY HOLDINGS LTD","GB","100.00","Corporate","CHESTERFIELD"
"382","SURE STEPS SUPPORT SERVICES LTD","AMORE GROUP LTD","GB","100.00","Corporate","RUNCORN"
"383","PURPLE ASH LIMITED","PARA GROUP HOLDINGS LIMITED","GB","100.00","Corporate","WILLENHALL"
"384","CORE CHILDREN LTD","KP PLAN LIMITED","GB","13.00","Corporate","NEWCASTLE"
"385","ROXWELL CARE ILFORD LIMITED","ROXWELL CARE GROUP LIMITED","GB","100.00","Corporate","ILFORD"
"386","TUTELAGE CARE HATLEY LTD","ZAV GROUP LTD","GB","100.00","Corporate","ILFORD"
"387","CHANNELS AND CHOICES KENT LLP","CHANNELS AND CHOICES HOLDINGS LIMITED","GB","WO","Corporate","BRIGHTON"
